epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5936,3.27,4.2037,7.53,0.099996,7.53
2,4.3838,5.09,4.0012,9.61,0.099984,9.61
3,4.2899,6.33,3.9796,11.42,0.099964,11.42
4,4.1952,7.86,3.7,14.54,0.099937,14.54
5,4.1502,8.63,3.6943,14.9,0.099901,14.9
6,4.0643,10.46,3.4114,20.06,0.099858,20.06
7,3.9879,12.04,3.4787,19.85,0.099807,20.06
8,3.8984,14.03,3.1855,24.63,0.099748,24.63
9,3.832,15.49,3.277,23.24,0.099681,24.63
10,3.7633,17.13,2.9539,29.96,0.099606,29.96
11,3.7111,17.61,2.7393,34.91,0.099523,34.91
12,3.6114,20.09,2.746,34.87,0.099433,34.91
13,3.5458,22.05,2.7072,35.98,0.099334,35.98
14,3.5339,22.65,2.6418,36.39,0.099228,36.39
15,3.5306,22.26,2.4976,41.21,0.099114,41.21
16,3.4685,23.9,2.4914,40.82,0.098993,41.21
17,3.4026,25.61,2.5406,39.72,0.098863,41.21
18,3.3924,26.17,2.3993,44.04,0.098726,44.04
19,3.3581,26.2,2.4245,42.8,0.098582,44.04
20,3.3727,26.17,2.3458,44.7,0.098429,44.7
21,3.2985,28.65,2.3418,45.19,0.098269,45.19
22,3.2896,27.68,2.2523,47.8,0.098101,47.8
23,3.2546,29.81,2.2124,47.85,0.097926,47.85
24,3.2148,30.71,2.3004,47.38,0.097743,47.85
25,3.2169,31.16,2.2631,47.08,0.097553,47.85
26,3.2215,30.08,2.1763,49.56,0.097355,49.56
27,3.2013,30.69,2.148,50.09,0.09715,50.09
28,3.1433,32.85,2.1805,49.76,0.096937,50.09
29,3.1342,32.57,2.2461,48.32,0.096716,50.09
30,3.1284,32.97,2.1913,49.16,0.096489,50.09
31,3.1016,33.96,2.0969,52.16,0.096254,52.16
32,3.0533,34.08,2.0774,51.62,0.096012,52.16
33,3.0755,34.01,1.9951,53.63,0.095762,53.63
34,3.0338,35.8,2.0618,52.67,0.095505,53.63
35,3.0701,33.69,2.0479,53.02,0.095241,53.63
36,3.0445,34.83,2.0242,53.23,0.09497,53.63
37,2.9972,36.81,1.9366,55.36,0.094692,55.36
38,2.9703,36.56,1.9895,54.78,0.094407,55.36
39,2.9772,37.04,1.8834,57.08,0.094115,57.08
40,2.9948,36.78,1.9187,56.4,0.093815,57.08
41,2.977,37.16,1.8561,57.86,0.093509,57.86
42,2.9398,37.38,1.9709,55.02,0.093196,57.86
43,2.9497,37.25,1.8668,57.56,0.092876,57.86
44,2.9503,37.82,1.9702,55.37,0.09255,57.86
45,2.9239,38.87,2.0266,54.05,0.092216,57.86
46,2.8628,40.24,1.8365,57.7,0.091876,57.86
47,2.8989,38.8,1.8824,57.4,0.09153,57.86
48,2.8646,40.65,1.9173,57.09,0.091177,57.86
49,2.9112,39.28,1.8208,59.14,0.090817,59.14
50,2.829,41.33,1.8074,59.41,0.090451,59.41
51,2.8677,39.58,1.786,59.76,0.090078,59.76
52,2.8729,39.75,1.7817,60.07,0.0897,60.07
53,2.8158,40.77,1.8237,58.83,0.089314,60.07
54,2.7514,43.2,1.8712,58.34,0.088923,60.07
55,2.725,44.84,1.7912,59.67,0.088526,60.07
56,2.7852,42.85,1.7685,60.87,0.088122,60.87
57,2.7669,42.26,1.7857,59.63,0.087713,60.87
58,2.7951,41.73,1.7843,59.49,0.087297,60.87
59,2.7467,42.79,1.8132,59.19,0.086876,60.87
60,2.7759,42.3,1.7999,60.18,0.086448,60.87
61,2.7178,43.74,1.7847,60.23,0.086015,60.87
62,2.7346,42.72,1.7397,61.29,0.085577,61.29
63,2.6897,45.61,1.7406,61.45,0.085132,61.45
64,2.6935,44.29,1.8007,59.99,0.084683,61.45
65,2.7784,42.67,1.8599,58.58,0.084227,61.45
66,2.7172,42.7,1.7449,61.22,0.083767,61.45
67,2.7015,42.59,1.7696,61.4,0.083301,61.45
68,2.7006,43.87,1.6964,63.0,0.082829,63.0
69,2.7243,43.87,1.7121,62.35,0.082353,63.0
70,2.6819,46.16,1.7388,62.32,0.081871,63.0
71,2.6677,44.72,1.7317,61.99,0.081385,63.0
72,2.6334,46.7,1.754,61.31,0.080893,63.0
73,2.6997,42.99,1.8302,59.93,0.080397,63.0
74,2.6173,46.37,1.758,60.73,0.079895,63.0
75,2.6677,45.27,1.6635,63.94,0.079389,63.94
76,2.6727,45.04,1.6995,62.96,0.078879,63.94
77,2.5882,47.15,1.6297,64.88,0.078363,64.88
78,2.6149,47.09,1.7213,62.53,0.077844,64.88
79,2.5679,46.94,1.693,62.74,0.07732,64.88
80,2.6296,46.03,1.7212,62.31,0.076791,64.88
81,2.5808,47.07,1.6596,63.72,0.076259,64.88
82,2.5764,48.26,1.7087,62.4,0.075722,64.88
83,2.6205,46.3,1.6817,63.54,0.075181,64.88
84,2.5752,47.51,1.6917,62.79,0.074636,64.88
85,2.5748,46.74,1.6504,64.17,0.074088,64.88
86,2.5702,47.21,1.6617,63.88,0.073535,64.88
87,2.5481,48.01,1.7201,62.93,0.072979,64.88
88,2.5443,49.61,1.6749,64.06,0.072419,64.88
89,2.6049,46.01,1.6865,63.75,0.071856,64.88
90,2.5373,49.37,1.6375,64.42,0.071289,64.88
91,2.548,48.36,1.7522,61.56,0.070719,64.88
92,2.5258,47.95,1.6445,64.54,0.070145,64.88
93,2.5228,48.62,1.6604,64.52,0.069569,64.88
94,2.5359,48.51,1.6604,64.05,0.068989,64.88
95,2.5449,49.47,1.6047,66.19,0.068406,66.19
96,2.4833,49.95,1.587,66.32,0.067821,66.32
97,2.4993,49.38,1.6144,65.29,0.067232,66.32
98,2.4988,49.06,1.6118,65.65,0.066641,66.32
99,2.4974,51.06,1.5776,66.12,0.066047,66.32
100,2.5183,48.91,1.6163,65.66,0.065451,66.32
101,2.456,49.72,1.6846,64.34,0.064852,66.32
102,2.459,49.58,1.612,66.3,0.064251,66.32
103,2.4834,47.4,1.6025,66.19,0.063648,66.32
104,2.4886,48.33,1.5967,65.96,0.063042,66.32
105,2.4645,48.96,1.6218,65.09,0.062434,66.32
106,2.4292,52.65,1.6373,65.57,0.061825,66.32
107,2.5248,47.89,2.0919,54.42,0.061214,66.32
108,2.4511,49.27,1.6004,66.25,0.0606,66.32
109,2.3682,53.04,1.556,67.04,0.059985,67.04
110,2.4441,51.93,1.5847,66.32,0.059369,67.04
111,2.4182,50.9,1.5634,67.69,0.058751,67.69
112,2.4059,50.97,1.5501,67.04,0.058132,67.69
113,2.413,50.99,1.5345,67.9,0.057511,67.9
114,2.371,51.58,1.5524,67.54,0.05689,67.9
115,2.3997,51.54,1.5374,67.41,0.056267,67.9
116,2.4007,53.29,1.5314,68.14,0.055643,68.14
117,2.3804,52.15,1.5818,66.95,0.055018,68.14
118,2.3292,53.13,1.5474,67.38,0.054393,68.14
119,2.3101,55.01,1.614,66.08,0.053766,68.14
120,2.3058,54.4,1.5793,67.14,0.05314,68.14
121,2.3172,55.85,1.5003,68.6,0.052512,68.6
122,2.3194,54.66,1.5291,68.43,0.051885,68.6
123,2.3196,53.68,1.5917,67.0,0.051257,68.6
124,2.3257,54.4,1.6375,65.73,0.050628,68.6
125,2.3375,53.12,1.557,67.86,0.05,68.6
126,2.2966,53.5,1.5127,68.96,0.049372,68.96
127,2.2767,54.37,1.5573,67.74,0.048743,68.96
128,2.3107,54.19,1.5754,67.49,0.048115,68.96
129,2.2956,54.24,1.5585,67.37,0.047488,68.96
130,2.3171,53.14,1.5122,68.76,0.04686,68.96
131,2.2765,55.47,1.5639,67.88,0.046234,68.96
132,2.2765,54.98,1.5175,69.33,0.045607,69.33
133,2.2676,54.84,1.5404,68.49,0.044982,69.33
134,2.2315,55.28,1.5285,68.42,0.044357,69.33
135,2.2138,57.5,1.5386,68.51,0.043733,69.33
136,2.1993,57.75,1.5632,68.05,0.04311,69.33
137,2.1942,57.29,1.4775,69.96,0.042489,69.96
138,2.2261,54.98,1.5327,68.71,0.041868,69.96
139,2.1832,57.7,1.5235,68.96,0.041249,69.96
140,2.226,56.84,1.467,69.73,0.040631,69.96
141,2.1335,58.6,1.5286,69.18,0.040015,69.96
142,2.1788,56.4,1.5406,68.79,0.0394,69.96
143,2.1459,57.55,1.5313,69.04,0.038786,69.96
144,2.1718,57.65,1.4979,69.97,0.038175,69.97
145,2.1368,59.13,1.5045,69.54,0.037566,69.97
146,2.1326,60.33,1.5486,67.82,0.036958,69.97
147,2.1613,58.59,1.5084,69.35,0.036352,69.97
148,2.1289,58.2,1.5091,69.52,0.035749,69.97
149,2.1471,59.53,1.4654,70.72,0.035148,70.72
150,2.099,60.11,1.5062,69.89,0.034549,70.72
151,2.1347,59.06,1.5288,69.69,0.033953,70.72
152,2.1155,59.74,1.4516,71.19,0.033359,71.19
153,2.1158,59.68,1.5005,69.72,0.032768,71.19
