epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5316,3.24,4.1815,7.11,0.099996,7.11
2,4.3689,5.46,4.0177,9.95,0.099984,9.95
3,4.3021,6.47,3.9061,11.06,0.099964,11.06
4,4.2538,7.13,3.865,11.62,0.099937,11.62
5,4.2136,7.7,3.8346,12.31,0.099901,12.31
6,4.1747,9.03,3.6877,15.19,0.099858,15.19
7,4.0914,9.99,3.6452,17.22,0.099807,17.22
8,4.0778,10.85,3.4958,18.82,0.099748,18.82
9,4.0288,11.8,3.3594,20.24,0.099681,20.24
10,3.9933,12.87,3.3404,20.79,0.099606,20.79
11,3.9536,13.39,3.2737,23.27,0.099523,23.27
12,3.9375,13.63,3.2726,23.05,0.099433,23.27
13,3.8623,15.3,3.0229,27.86,0.099334,27.86
14,3.8536,16.13,3.0574,27.2,0.099228,27.86
15,3.8012,16.72,3.5003,21.97,0.099114,27.86
16,3.7871,17.04,3.0069,29.77,0.098993,29.77
17,3.757,17.57,2.9729,29.79,0.098863,29.79
18,3.7665,17.64,3.4107,25.65,0.098726,29.79
19,3.7134,19.16,3.5762,23.41,0.098582,29.79
20,3.7407,18.28,2.6953,34.42,0.098429,34.42
21,3.7241,18.92,3.1798,27.75,0.098269,34.42
22,3.6666,20.35,2.9972,30.19,0.098101,34.42
23,3.6694,20.46,2.9532,33.12,0.097926,34.42
24,3.6682,20.84,3.4384,24.92,0.097743,34.42
25,3.6702,20.23,2.8461,32.71,0.097553,34.42
26,3.6374,21.34,2.7778,34.15,0.097355,34.42
27,3.6133,21.87,2.7797,35.71,0.09715,35.71
28,3.6053,22.0,2.9834,31.83,0.096937,35.71
29,3.6163,21.21,2.5412,39.43,0.096716,39.43
30,3.5731,22.4,2.847,33.71,0.096489,39.43
31,3.6092,21.04,2.6953,36.24,0.096254,39.43
32,3.5371,24.19,2.5909,38.89,0.096012,39.43
33,3.525,24.28,2.6463,37.92,0.095762,39.43
34,3.5578,22.77,2.6914,36.45,0.095505,39.43
35,3.5247,23.78,2.779,36.07,0.095241,39.43
36,3.5175,24.39,2.6783,36.5,0.09497,39.43
37,3.495,25.17,2.7317,36.65,0.094692,39.43
38,3.5098,24.5,2.8215,34.94,0.094407,39.43
39,3.5448,23.19,2.7173,38.35,0.094115,39.43
40,3.4998,24.44,2.5633,39.14,0.093815,39.43
41,3.5193,23.2,2.7455,37.22,0.093509,39.43
42,3.5062,24.62,2.5603,39.57,0.093196,39.57
43,3.4999,23.41,2.6956,37.46,0.092876,39.57
44,3.4696,25.25,2.6808,39.04,0.09255,39.57
45,3.4653,25.5,2.549,41.29,0.092216,41.29
46,3.4656,25.76,2.6552,38.75,0.091876,41.29
47,3.4553,25.48,2.4753,41.37,0.09153,41.37
48,3.4478,27.13,2.5469,41.43,0.091177,41.43
49,3.4275,25.74,2.4945,42.47,0.090817,42.47
50,3.4549,26.27,2.6966,40.05,0.090451,42.47
51,3.4557,25.04,2.3612,44.44,0.090078,44.44
52,3.4477,26.1,2.6312,40.54,0.0897,44.44
53,3.4288,26.5,2.5461,42.46,0.089314,44.44
54,3.4259,26.55,2.3412,44.74,0.088923,44.74
55,3.4132,27.21,2.6141,41.0,0.088526,44.74
56,3.4519,26.16,2.6043,40.55,0.088122,44.74
57,3.3835,26.73,2.3025,46.88,0.087713,46.88
58,3.3989,26.57,2.4228,43.73,0.087297,46.88
59,3.3829,26.6,2.369,45.7,0.086876,46.88
60,3.3857,26.26,2.5264,42.4,0.086448,46.88
61,3.3751,28.45,2.2934,47.18,0.086015,47.18
62,3.3562,27.27,2.2757,46.36,0.085577,47.18
63,3.3149,28.64,2.4012,45.75,0.085132,47.18
64,3.3541,29.03,2.3503,45.16,0.084683,47.18
65,3.3881,26.95,2.4125,45.27,0.084227,47.18
66,3.3822,27.69,2.3156,46.71,0.083767,47.18
67,3.3634,27.64,2.191,50.72,0.083301,50.72
68,3.2999,29.54,2.3834,46.58,0.082829,50.72
69,3.3485,28.29,2.4012,44.88,0.082353,50.72
70,3.2459,31.31,2.3618,45.93,0.081871,50.72
71,3.3307,29.65,2.6667,42.21,0.081385,50.72
72,3.3012,28.95,2.2623,47.55,0.080893,50.72
73,3.2538,30.88,2.1365,50.58,0.080397,50.72
74,3.3056,29.81,2.397,46.62,0.079895,50.72
75,3.2811,29.91,2.1917,49.78,0.079389,50.72
76,3.2863,31.34,2.2203,49.0,0.078879,50.72
77,3.3527,27.31,2.3955,46.17,0.078363,50.72
78,3.2879,30.7,2.2037,49.06,0.077844,50.72
79,3.2784,31.29,2.1882,48.83,0.07732,50.72
80,3.2698,30.64,2.27,49.28,0.076791,50.72
81,3.2077,32.64,2.2902,48.7,0.076259,50.72
82,3.3195,30.04,2.2018,48.55,0.075722,50.72
83,3.2624,32.23,2.2299,49.28,0.075181,50.72
84,3.2535,30.52,2.2213,50.57,0.074636,50.72
