epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5413,3.95,4.158,8.28,0.099996,8.28
2,4.3478,6.85,3.9237,12.62,0.099984,12.62
3,4.2169,8.85,3.7274,16.06,0.099964,16.06
4,4.1178,10.89,3.5399,20.34,0.099937,20.34
5,4.0315,12.95,3.5125,20.87,0.099901,20.87
6,3.934,15.34,3.3364,25.03,0.099858,25.03
7,3.8653,16.68,3.1367,29.48,0.099807,29.48
8,3.765,18.8,2.9554,34.44,0.099748,34.44
9,3.6737,20.38,2.8946,35.68,0.099681,35.68
10,3.6357,22.22,2.8362,36.89,0.099606,36.89
11,3.6021,22.88,2.7197,39.89,0.099523,39.89
12,3.494,25.9,2.7123,41.29,0.099433,41.29
13,3.4942,26.61,2.6029,43.3,0.099334,43.3
14,3.3958,28.26,2.6094,43.6,0.099228,43.6
15,3.3865,29.17,2.6115,43.64,0.099114,43.64
16,3.3125,31.5,2.4757,46.85,0.098993,46.85
17,3.3519,30.25,2.4281,48.5,0.098863,48.5
18,3.2994,31.75,2.5606,45.12,0.098726,48.5
19,3.3006,32.81,2.4266,48.96,0.098582,48.96
20,3.2571,32.8,2.3943,50.12,0.098429,50.12
21,3.1642,36.51,2.4514,48.36,0.098269,50.12
22,3.2083,34.04,2.3356,51.66,0.098101,51.66
23,3.1224,36.72,2.2874,52.7,0.097926,52.7
24,3.126,37.46,2.2622,53.35,0.097743,53.35
25,3.0312,39.65,2.2606,53.7,0.097553,53.7
26,3.0816,39.4,2.2664,53.94,0.097355,53.94
27,3.0949,35.86,2.2737,53.9,0.09715,53.94
28,3.0594,38.56,2.239,54.26,0.096937,54.26
29,3.014,41.96,2.2319,54.67,0.096716,54.67
30,2.9546,41.52,2.1956,56.74,0.096489,56.74
31,3.0579,37.52,2.138,58.16,0.096254,58.16
32,2.9394,42.39,2.1563,57.27,0.096012,58.16
33,3.0127,41.07,2.1703,56.55,0.095762,58.16
34,2.9465,42.6,2.1969,56.57,0.095505,58.16
35,2.9804,40.79,2.1944,56.28,0.095241,58.16
36,2.9747,42.44,2.1044,59.04,0.09497,59.04
37,2.9026,44.65,2.1893,56.77,0.094692,59.04
38,2.8674,44.18,2.0732,59.19,0.094407,59.19
39,2.7893,48.37,2.0794,59.4,0.094115,59.4
40,2.7722,48.37,2.104,59.35,0.093815,59.4
41,2.8556,45.18,2.1086,59.32,0.093509,59.4
42,2.797,48.01,2.0924,59.31,0.093196,59.4
43,2.7951,47.31,2.0677,59.96,0.092876,59.96
44,2.7897,48.79,2.0596,60.27,0.09255,60.27
45,2.7379,49.47,2.0283,60.47,0.092216,60.47
46,2.7975,47.54,2.0246,60.74,0.091876,60.74
47,2.78,46.4,2.0221,61.75,0.09153,61.75
48,2.6871,50.34,1.9507,63.3,0.091177,63.3
49,2.7741,48.25,2.0152,61.57,0.090817,63.3
50,2.7741,47.02,2.0629,60.9,0.090451,63.3
51,2.7846,48.22,1.9807,62.5,0.090078,63.3
52,2.6741,51.3,2.03,61.85,0.0897,63.3
53,2.7271,49.01,2.0234,62.26,0.089314,63.3
54,2.6819,49.83,2.0043,62.42,0.088923,63.3
55,2.701,51.79,2.0008,62.18,0.088526,63.3
56,2.6478,52.54,1.981,62.99,0.088122,63.3
57,2.7056,50.77,2.0065,62.74,0.087713,63.3
58,2.6779,52.4,1.9971,62.47,0.087297,63.3
59,2.6943,51.64,2.0451,61.24,0.086876,63.3
60,2.6246,52.26,2.0733,60.88,0.086448,63.3
61,2.5881,55.52,1.9546,64.06,0.086015,64.06
62,2.6974,50.69,2.0296,61.84,0.085577,64.06
63,2.5984,53.3,2.0918,59.84,0.085132,64.06
64,2.6833,51.45,2.0233,61.71,0.084683,64.06
65,2.6525,50.95,1.9756,63.08,0.084227,64.06
66,2.6135,54.88,1.9677,63.45,0.083767,64.06
67,2.6163,52.95,1.9627,63.87,0.083301,64.06
68,2.5908,51.7,1.951,64.07,0.082829,64.07
69,2.5015,55.42,1.9951,63.01,0.082353,64.07
70,2.5986,53.89,1.9645,64.08,0.081871,64.08
71,2.5639,53.4,1.9739,63.48,0.081385,64.08
72,2.5435,56.52,1.9454,64.04,0.080893,64.08
73,2.5118,54.67,1.9707,63.26,0.080397,64.08
74,2.5986,53.34,1.9622,64.31,0.079895,64.31
75,2.4911,57.92,1.9389,64.24,0.079389,64.31
76,2.4395,57.51,1.9764,64.27,0.078879,64.31
77,2.5104,56.73,1.9444,64.67,0.078363,64.67
78,2.4809,58.4,1.9666,64.11,0.077844,64.67
79,2.4755,61.13,1.9403,64.93,0.07732,64.93
80,2.5323,53.99,1.9687,63.89,0.076791,64.93
81,2.5097,56.23,1.9465,64.64,0.076259,64.93
82,2.4536,58.25,1.9471,64.32,0.075722,64.93
83,2.4915,57.26,1.9557,64.23,0.075181,64.93
84,2.4385,57.33,1.939,65.43,0.074636,65.43
85,2.4689,57.5,1.9322,64.53,0.074088,65.43
86,2.5055,52.65,1.9949,64.01,0.073535,65.43
87,2.4626,58.56,1.9321,65.35,0.072979,65.43
88,2.4465,59.09,2.0099,63.5,0.072419,65.43
89,2.4113,60.88,1.8962,66.53,0.071856,66.53
90,2.4371,58.26,1.9023,66.29,0.071289,66.53
91,2.4352,60.06,1.9275,65.95,0.070719,66.53
92,2.3868,59.55,1.9457,65.31,0.070145,66.53
93,2.3034,63.16,1.9635,64.7,0.069569,66.53
94,2.414,58.87,1.9265,65.06,0.068989,66.53
95,2.4375,57.83,1.9347,65.47,0.068406,66.53
96,2.4168,58.52,1.9215,65.88,0.067821,66.53
97,2.3901,61.64,1.9294,65.15,0.067232,66.53
98,2.3599,62.31,1.9228,65.94,0.066641,66.53
99,2.4016,59.61,1.9504,65.11,0.066047,66.53
100,2.3086,64.12,1.9434,66.02,0.065451,66.53
101,2.3358,61.44,1.9961,63.7,0.064852,66.53
102,2.3208,63.09,1.9273,66.07,0.064251,66.53
103,2.4169,60.18,1.9519,65.35,0.063648,66.53
104,2.3165,60.74,1.9389,66.01,0.063042,66.53
105,2.3394,61.61,1.9231,65.56,0.062434,66.53
106,2.3973,60.38,1.9317,66.57,0.061825,66.57
107,2.3006,61.39,1.9353,65.33,0.061214,66.57
108,2.3238,63.2,1.958,65.3,0.0606,66.57
109,2.2991,62.55,1.91,66.21,0.059985,66.57
110,2.3299,64.7,1.9194,66.25,0.059369,66.57
111,2.3341,60.94,1.914,66.61,0.058751,66.61
112,2.3115,61.24,1.8903,67.09,0.058132,67.09
113,2.2903,63.63,1.9179,66.09,0.057511,67.09
114,2.2645,63.39,1.9204,65.85,0.05689,67.09
115,2.3047,63.42,1.9849,64.68,0.056267,67.09
116,2.2592,63.88,1.9031,66.9,0.055643,67.09
117,2.2467,65.08,1.8892,66.84,0.055018,67.09
118,2.2888,63.04,1.9459,65.86,0.054393,67.09
119,2.1823,68.97,1.902,66.84,0.053766,67.09
120,2.2663,65.87,1.9089,66.35,0.05314,67.09
121,2.271,63.72,1.9024,66.9,0.052512,67.09
122,2.2952,62.51,1.9391,66.22,0.051885,67.09
123,2.3097,62.8,1.901,67.32,0.051257,67.32
124,2.2083,66.54,1.913,66.7,0.050628,67.32
125,2.2572,65.26,1.9701,64.98,0.05,67.32
126,2.2169,68.47,1.9006,66.75,0.049372,67.32
127,2.2367,63.77,1.9024,67.25,0.048743,67.32
128,2.1424,70.02,1.9032,67.02,0.048115,67.32
129,2.1876,66.87,1.8993,67.08,0.047488,67.32
130,2.2411,63.37,1.8962,67.33,0.04686,67.33
131,2.27,61.68,1.9128,67.23,0.046234,67.33
132,2.1902,64.39,1.8859,68.3,0.045607,68.3
133,2.2497,63.85,1.8904,67.74,0.044982,68.3
134,2.3131,58.97,1.9326,66.48,0.044357,68.3
135,2.2405,64.3,1.9278,66.34,0.043733,68.3
136,2.201,63.75,1.8936,67.13,0.04311,68.3
137,2.1774,68.3,1.8908,67.44,0.042489,68.3
138,2.2361,63.61,1.8789,67.65,0.041868,68.3
139,2.1496,67.96,1.8763,68.42,0.041249,68.42
140,2.1956,66.26,1.8837,67.62,0.040631,68.42
141,2.176,68.08,1.899,67.68,0.040015,68.42
142,2.1357,68.2,1.8891,67.57,0.0394,68.42
143,2.1088,68.99,1.9034,66.78,0.038786,68.42
144,2.1603,65.95,1.8882,67.46,0.038175,68.42
145,2.2035,66.29,1.9099,66.64,0.037566,68.42
146,2.1369,67.99,1.8707,67.85,0.036958,68.42
147,2.1586,67.73,1.8862,68.25,0.036352,68.42
148,2.1385,69.66,1.8896,67.8,0.035749,68.42
149,2.1413,68.44,1.8855,67.6,0.035148,68.42
150,2.1141,69.02,1.8693,68.37,0.034549,68.42
151,2.1241,67.49,1.8939,67.55,0.033953,68.42
152,2.1102,71.28,1.8734,68.08,0.033359,68.42
153,2.1643,66.59,1.8643,68.28,0.032768,68.42
154,2.0995,68.91,1.8635,68.59,0.032179,68.59
155,2.1002,68.09,1.8815,67.93,0.031594,68.59
156,2.101,67.9,1.8806,68.15,0.031011,68.59
157,2.1405,64.07,1.8772,67.61,0.030431,68.59
158,2.0885,71.35,1.8806,68.4,0.029855,68.59
159,2.1056,66.63,1.8578,68.6,0.029281,68.6
160,2.1408,65.01,1.8727,68.36,0.028711,68.6
161,2.1523,64.79,1.8846,68.1,0.028144,68.6
162,2.0617,67.58,1.8953,68.43,0.027581,68.6
163,2.1377,66.52,1.8485,69.11,0.027021,69.11
164,2.1052,67.8,1.8611,68.77,0.026465,69.11
165,2.0631,70.89,1.8751,68.6,0.025912,69.11
166,2.0821,68.25,1.8539,69.07,0.025364,69.11
167,2.0848,70.17,1.8615,68.45,0.024819,69.11
168,2.0376,72.23,1.8556,68.74,0.024278,69.11
169,2.0591,66.94,1.8687,68.89,0.023741,69.11
170,2.0357,72.27,1.8726,68.76,0.023209,69.11
171,2.0201,70.49,1.8414,69.41,0.02268,69.41
172,1.9772,71.59,1.8507,68.87,0.022156,69.41
173,2.063,71.06,1.8556,69.23,0.021637,69.41
174,2.0043,72.61,1.8554,69.07,0.021121,69.41
175,2.0729,68.68,1.8603,69.38,0.020611,69.41
176,2.0549,68.7,1.8759,68.91,0.020105,69.41
177,2.0107,75.06,1.8568,69.34,0.019603,69.41
178,2.0344,69.51,1.8541,69.24,0.019107,69.41
179,1.984,70.13,1.8309,69.67,0.018615,69.67
180,2.0383,71.14,1.8239,70.3,0.018129,70.3
181,2.0444,67.44,1.847,69.72,0.017647,70.3
182,2.0304,70.79,1.8456,69.61,0.017171,70.3
183,2.006,71.35,1.8323,69.55,0.016699,70.3
184,1.9641,72.29,1.8383,69.89,0.016233,70.3
185,1.9489,70.69,1.8356,69.68,0.015773,70.3
186,1.9784,73.27,1.8314,69.88,0.015317,70.3
187,2.0243,71.1,1.8419,69.71,0.014868,70.3
188,1.9935,70.02,1.8468,69.21,0.014423,70.3
189,1.9487,73.12,1.8458,69.6,0.013985,70.3
190,1.9816,72.62,1.857,69.86,0.013552,70.3
191,1.9908,70.45,1.8222,70.13,0.013124,70.3
192,1.9923,69.97,1.8225,70.05,0.012703,70.3
193,1.889,75.07,1.8316,69.76,0.012287,70.3
194,1.9729,72.46,1.8207,70.29,0.011878,70.3
195,1.9703,70.39,1.8163,69.98,0.011474,70.3
196,1.948,72.38,1.8333,69.72,0.011077,70.3
197,1.9162,74.86,1.8206,70.42,0.010686,70.42
198,1.9609,72.12,1.8256,70.13,0.0103,70.42
199,1.9651,72.26,1.8313,70.08,0.009922,70.42
200,2.0119,69.89,1.8202,70.18,0.009549,70.42
201,1.9377,69.97,1.837,69.94,0.009183,70.42
202,1.9494,71.41,1.8359,69.78,0.008823,70.42
203,1.9752,69.7,1.8441,69.55,0.00847,70.42
204,1.9095,75.0,1.8241,70.05,0.008124,70.42
205,1.9207,71.06,1.8301,70.14,0.007784,70.42
206,1.9462,73.0,1.8232,70.11,0.00745,70.42
207,1.9078,75.62,1.8244,69.54,0.007124,70.42
208,1.8686,76.58,1.8252,70.08,0.006804,70.42
209,1.9906,68.94,1.827,69.73,0.006491,70.42
210,1.8431,78.71,1.822,70.29,0.006185,70.42
211,1.9448,75.96,1.8197,70.24,0.005885,70.42
212,1.9273,75.91,1.8214,70.62,0.005593,70.62
213,1.9671,70.57,1.8233,70.25,0.005308,70.62
214,1.9545,71.75,1.8274,70.4,0.00503,70.62
215,1.9459,73.25,1.8102,70.68,0.004759,70.68
216,1.8945,74.45,1.8167,70.69,0.004495,70.69
217,1.9347,72.56,1.8251,70.31,0.004238,70.69
218,1.9365,72.43,1.8209,70.6,0.003988,70.69
219,1.9302,75.01,1.8162,70.64,0.003746,70.69
220,1.9218,72.53,1.8119,70.61,0.003511,70.69
221,1.9254,76.55,1.8108,70.6,0.003284,70.69
222,1.8724,75.85,1.8103,70.7,0.003063,70.7
223,1.8875,73.29,1.8164,70.8,0.00285,70.8
224,1.8856,75.47,1.816,70.68,0.002645,70.8
225,1.8298,77.02,1.816,70.77,0.002447,70.8
226,1.9252,75.12,1.8089,70.86,0.002257,70.86
227,1.8787,76.14,1.8109,70.66,0.002074,70.86
228,1.906,72.18,1.8149,70.87,0.001899,70.87
229,1.8435,78.15,1.7985,71.03,0.001731,71.03
230,1.8649,76.73,1.8082,71.06,0.001571,71.06
231,1.8739,75.44,1.8028,70.91,0.001418,71.06
232,1.8936,74.98,1.8106,70.9,0.001274,71.06
233,1.8878,78.15,1.8049,71.08,0.001137,71.08
234,1.8935,71.39,1.8158,70.66,0.001007,71.08
235,1.8524,76.57,1.8112,70.98,0.000886,71.08
236,1.8762,73.56,1.814,70.72,0.000772,71.08
237,1.8823,73.71,1.8022,70.94,0.000666,71.08
238,1.8932,73.15,1.809,71.0,0.000567,71.08
239,1.9134,71.44,1.813,70.73,0.000477,71.08
240,1.8658,72.83,1.8138,70.92,0.000394,71.08
241,1.871,76.54,1.8076,71.21,0.000319,71.21
242,1.8852,74.31,1.8069,71.03,0.000252,71.21
243,1.8975,75.98,1.8064,70.91,0.000193,71.21
244,1.9058,72.12,1.8069,70.98,0.000142,71.21
245,1.9196,70.78,1.8105,70.97,9.9e-05,71.21
246,1.8832,74.52,1.8022,71.02,6.3e-05,71.21
247,1.8759,73.0,1.8098,70.81,3.6e-05,71.21
248,1.8689,75.21,1.8116,70.87,1.6e-05,71.21
249,1.894,77.21,1.8057,71.02,4e-06,71.21
250,1.8833,75.33,1.8149,70.72,0.0,71.21
