epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,4.5901,2.23,4.2968,5.2,0.099996,5.2
2,4.4532,3.94,4.1277,6.93,0.099984,6.93
3,4.3988,4.27,4.1019,7.48,0.099964,7.48
4,4.3562,5.1,3.9243,10.49,0.099937,10.49
5,4.3151,5.66,3.8936,10.1,0.099901,10.49
6,4.2602,6.73,3.838,11.64,0.099858,11.64
7,4.2266,7.46,3.7491,12.73,0.099807,12.73
8,4.1604,8.22,3.7325,14.61,0.099748,14.61
9,4.0944,9.33,3.557,17.37,0.099681,17.37
10,4.043,10.77,3.395,18.84,0.099606,18.84
11,4.0169,11.53,3.1838,23.65,0.099523,23.65
12,3.9766,12.04,3.2017,22.59,0.099433,23.65
13,3.9263,13.37,3.0975,25.05,0.099334,25.05
14,3.873,14.47,3.0063,26.44,0.099228,26.44
15,3.831,15.34,2.8933,30.13,0.099114,30.13
16,3.7788,16.47,2.8158,31.38,0.098993,31.38
17,3.7374,17.42,2.9039,30.62,0.098863,31.38
18,3.7429,17.33,2.8793,30.92,0.098726,31.38
19,3.6978,17.94,2.8056,32.66,0.098582,32.66
20,3.6499,19.34,2.7843,31.94,0.098429,32.66
21,3.6402,20.02,2.6211,36.15,0.098269,36.15
22,3.5889,20.74,2.6144,36.4,0.098101,36.4
23,3.6136,20.05,2.6841,36.34,0.097926,36.4
24,3.5684,22.18,2.8074,32.6,0.097743,36.4
25,3.5786,21.67,2.4898,40.57,0.097553,40.57
26,3.5055,23.16,2.4286,41.87,0.097355,41.87
27,3.5307,23.83,2.4932,39.37,0.09715,41.87
28,3.5526,22.5,2.5406,39.01,0.096937,41.87
29,3.5221,22.68,2.523,39.56,0.096716,41.87
30,3.5056,22.56,2.4107,41.81,0.096489,41.87
31,3.5149,23.32,2.3715,42.55,0.096254,42.55
32,3.4393,25.59,2.5696,39.91,0.096012,42.55
33,3.494,24.06,2.494,39.9,0.095762,42.55
34,3.4575,24.91,2.4049,43.33,0.095505,43.33
35,3.4191,26.29,2.4369,41.79,0.095241,43.33
36,3.4284,25.38,2.4901,40.56,0.09497,43.33
37,3.4131,26.99,2.3502,44.04,0.094692,44.04
38,3.3638,27.55,2.4869,40.87,0.094407,44.04
39,3.4119,25.01,2.2425,47.59,0.094115,47.59
40,3.3406,27.34,2.2333,45.79,0.093815,47.59
41,3.4114,26.24,2.2859,45.32,0.093509,47.59
42,3.3781,28.05,2.3136,45.57,0.093196,47.59
43,3.4176,25.76,2.2383,47.94,0.092876,47.94
44,3.3365,28.42,2.1932,48.53,0.09255,48.53
45,3.3236,27.27,2.4198,43.65,0.092216,48.53
46,3.354,28.07,2.2122,48.22,0.091876,48.53
47,3.3048,28.09,2.4013,43.74,0.09153,48.53
48,3.3605,27.12,2.2586,47.25,0.091177,48.53
49,3.3236,28.08,2.2791,46.29,0.090817,48.53
50,3.3503,28.31,2.198,48.33,0.090451,48.53
51,3.3348,28.22,2.1213,50.46,0.090078,50.46
52,3.3159,27.61,2.3282,46.1,0.0897,50.46
53,3.2699,30.4,2.2076,48.44,0.089314,50.46
54,3.3087,29.78,2.1862,48.87,0.088923,50.46
55,3.3123,29.64,2.1694,49.27,0.088526,50.46
56,3.2638,30.61,2.0836,50.58,0.088122,50.58
57,3.2082,32.35,2.0815,51.35,0.087713,51.35
58,3.2682,30.56,2.0921,51.47,0.087297,51.47
59,3.2367,31.62,2.2871,48.17,0.086876,51.47
60,3.3058,28.88,2.1613,50.03,0.086448,51.47
61,3.3009,29.74,2.1231,51.17,0.086015,51.47
62,3.2817,29.56,2.146,50.4,0.085577,51.47
63,3.268,30.99,2.0273,53.49,0.085132,53.49
64,3.2666,30.16,2.05,52.57,0.084683,53.49
65,3.2233,31.95,2.1622,49.68,0.084227,53.49
66,3.2405,30.02,2.1128,50.72,0.083767,53.49
67,3.1942,32.6,2.1065,52.05,0.083301,53.49
68,3.2205,32.35,1.958,55.08,0.082829,55.08
69,3.1682,31.16,2.0182,55.2,0.082353,55.2
70,3.1807,32.94,2.1395,51.18,0.081871,55.2
71,3.1702,33.28,1.9552,54.65,0.081385,55.2
72,3.1486,34.85,2.1296,51.88,0.080893,55.2
73,3.173,32.77,2.0017,53.92,0.080397,55.2
74,3.1477,33.48,2.0317,53.21,0.079895,55.2
75,3.2285,31.15,2.0696,52.81,0.079389,55.2
76,3.1234,32.27,2.0479,53.21,0.078879,55.2
77,3.1772,32.06,2.0365,53.47,0.078363,55.2
