epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.1309,11.12,2.8585,21.84,0.099996,21.84
2,3.0398,14.64,2.6082,24.4,0.099984,24.4
3,2.9435,17.44,2.4279,30.64,0.099964,30.64
4,2.8715,19.44,2.4516,31.4,0.099937,31.4
5,2.7911,22.17,2.3296,36.76,0.099901,36.76
6,2.7684,23.55,2.1124,39.96,0.099858,39.96
7,2.6965,25.69,2.0886,42.76,0.099807,42.76
8,2.6715,26.57,1.9238,45.36,0.099748,45.36
9,2.5913,28.86,2.0749,43.4,0.099681,45.36
10,2.5999,28.59,1.7953,50.16,0.099606,50.16
11,2.5422,31.47,1.7837,50.24,0.099523,50.24
12,2.52,31.06,1.8149,51.0,0.099433,51.0
13,2.4622,34.64,1.7508,52.12,0.099334,52.12
14,2.4294,34.11,1.8797,50.52,0.099228,52.12
15,2.3801,36.49,1.643,56.84,0.099114,56.84
16,2.3888,37.14,1.5613,58.6,0.098993,58.6
17,2.3511,37.53,1.5291,60.56,0.098863,60.56
18,2.3156,39.92,1.5011,61.28,0.098726,61.28
19,2.3355,38.92,1.4698,62.92,0.098582,62.92
20,2.2709,41.8,1.4291,64.68,0.098429,64.68
21,2.2374,42.98,1.6728,56.92,0.098269,64.68
22,2.2254,42.05,1.4357,64.4,0.098101,64.68
23,2.226,42.56,1.3634,65.56,0.097926,65.56
24,2.2202,40.85,1.3172,67.4,0.097743,67.4
25,2.2252,42.32,1.4305,63.96,0.097553,67.4
26,2.1531,45.27,1.5099,61.56,0.097355,67.4
27,2.1561,44.54,1.2969,68.2,0.09715,68.2
28,2.1753,43.95,1.3478,66.68,0.096937,68.2
29,2.1221,45.52,1.3488,67.36,0.096716,68.2
30,2.08,48.01,1.2075,72.04,0.096489,72.04
31,2.0689,47.73,1.1382,73.6,0.096254,73.6
32,2.1025,45.25,1.1503,72.92,0.096012,73.6
33,2.0481,47.49,1.1062,75.48,0.095762,75.48
34,2.0728,47.01,1.2582,69.68,0.095505,75.48
35,2.0421,48.33,1.151,73.52,0.095241,75.48
36,2.0542,49.59,1.3342,67.76,0.09497,75.48
37,2.0114,51.68,1.1581,72.92,0.094692,75.48
38,2.0098,48.87,1.194,72.64,0.094407,75.48
39,2.0417,49.12,1.1633,73.44,0.094115,75.48
40,1.9872,49.68,1.2925,68.8,0.093815,75.48
41,1.9486,53.14,1.1978,72.36,0.093509,75.48
42,2.0167,50.76,1.191,71.8,0.093196,75.48
43,1.9656,51.92,1.16,72.64,0.092876,75.48
44,1.9339,53.14,1.0208,77.96,0.09255,77.96
45,1.9042,54.8,1.0477,77.72,0.092216,77.96
46,1.9381,52.38,1.0765,75.48,0.091876,77.96
47,1.9188,54.29,1.0805,75.36,0.09153,77.96
48,1.9111,52.05,1.1771,73.16,0.091177,77.96
49,1.8731,56.94,1.0181,77.92,0.090817,77.96
50,1.8917,55.02,1.093,75.4,0.090451,77.96
51,1.9444,50.06,1.0232,77.0,0.090078,77.96
52,1.8743,55.5,1.1778,71.88,0.0897,77.96
53,1.8769,53.98,1.0423,77.4,0.089314,77.96
54,1.8882,53.28,1.048,78.36,0.088923,78.36
55,1.9259,51.25,1.0447,76.72,0.088526,78.36
56,1.8849,54.22,1.1147,75.56,0.088122,78.36
57,1.8516,56.27,1.1672,73.28,0.087713,78.36
58,1.8963,52.95,0.9664,79.32,0.087297,79.32
59,1.8428,55.99,0.9411,80.72,0.086876,80.72
60,1.8439,55.21,1.1354,73.16,0.086448,80.72
61,1.8224,56.62,0.9657,80.48,0.086015,80.72
62,1.8487,53.79,1.0324,77.64,0.085577,80.72
63,1.8397,56.84,0.9353,80.64,0.085132,80.72
64,1.8003,56.89,0.936,81.08,0.084683,81.08
65,1.7946,55.68,0.9396,81.52,0.084227,81.52
66,1.8244,53.51,1.007,78.44,0.083767,81.52
67,1.799,54.75,0.9857,79.88,0.083301,81.52
68,1.7964,57.26,0.9957,78.88,0.082829,81.52
69,1.7969,55.74,0.91,81.84,0.082353,81.84
70,1.8135,57.64,0.9929,78.64,0.081871,81.84
71,1.7515,59.25,0.9555,80.96,0.081385,81.84
72,1.7343,59.18,1.0003,78.92,0.080893,81.84
73,1.7134,59.38,0.9152,81.64,0.080397,81.84
74,1.7539,59.23,0.9838,80.48,0.079895,81.84
75,1.7109,60.41,0.9968,78.56,0.079389,81.84
76,1.7356,59.9,0.9039,81.96,0.078879,81.96
77,1.7164,56.78,0.9616,79.96,0.078363,81.96
78,1.6742,60.33,0.9164,81.48,0.077844,81.96
79,1.7078,58.69,0.9516,80.4,0.07732,81.96
80,1.6782,62.24,0.9206,81.6,0.076791,81.96
81,1.72,57.85,0.9391,81.4,0.076259,81.96
82,1.7015,57.59,0.9124,81.48,0.075722,81.96
83,1.6972,60.91,0.8586,83.84,0.075181,83.84
84,1.6513,65.6,0.8991,82.36,0.074636,83.84
85,1.6456,62.41,0.9407,81.04,0.074088,83.84
86,1.6989,60.29,0.8715,83.56,0.073535,83.84
87,1.7085,58.14,0.8758,83.16,0.072979,83.84
88,1.6687,61.04,0.9123,82.0,0.072419,83.84
89,1.6496,60.5,0.9409,80.72,0.071856,83.84
90,1.6819,59.61,0.8764,82.76,0.071289,83.84
91,1.6484,63.01,0.7973,85.88,0.070719,85.88
92,1.7527,57.86,0.8375,84.44,0.070145,85.88
93,1.6405,62.01,0.8551,84.0,0.069569,85.88
94,1.6421,63.42,0.9127,81.44,0.068989,85.88
95,1.6238,63.46,0.8595,83.4,0.068406,85.88
96,1.6318,62.04,0.8993,82.48,0.067821,85.88
97,1.6603,61.12,0.8563,83.52,0.067232,85.88
98,1.6283,61.89,0.8709,82.88,0.066641,85.88
99,1.6154,64.25,0.8901,83.96,0.066047,85.88
100,1.6156,64.51,0.8538,83.76,0.065451,85.88
101,1.5977,66.43,0.8418,84.28,0.064852,85.88
102,1.62,60.88,0.8564,83.8,0.064251,85.88
103,1.5996,62.93,0.8593,83.96,0.063648,85.88
104,1.6127,63.36,0.8333,84.84,0.063042,85.88
105,1.5786,65.95,0.8396,83.84,0.062434,85.88
106,1.5906,62.41,0.8262,84.36,0.061825,85.88
107,1.5621,65.67,0.8067,85.56,0.061214,85.88
108,1.6224,63.1,0.87,83.68,0.0606,85.88
109,1.5725,63.62,0.8894,82.72,0.059985,85.88
110,1.541,66.54,0.7835,86.92,0.059369,86.92
111,1.568,64.59,0.8334,84.24,0.058751,86.92
112,1.566,65.57,0.91,82.2,0.058132,86.92
113,1.5614,65.08,0.8241,84.88,0.057511,86.92
114,1.5593,66.05,0.8838,81.84,0.05689,86.92
115,1.5409,65.5,0.7985,85.36,0.056267,86.92
116,1.5921,63.59,0.882,83.32,0.055643,86.92
117,1.5538,63.81,0.8568,83.28,0.055018,86.92
118,1.4678,69.76,0.8552,83.36,0.054393,86.92
119,1.5502,64.93,0.8313,83.96,0.053766,86.92
120,1.5066,68.51,0.8194,85.8,0.05314,86.92
121,1.5144,69.08,0.8397,83.96,0.052512,86.92
122,1.5213,67.43,0.8333,85.28,0.051885,86.92
123,1.4911,65.56,0.8165,84.56,0.051257,86.92
124,1.555,66.06,0.801,85.08,0.050628,86.92
125,1.4812,64.73,0.7895,86.28,0.05,86.92
126,1.5302,63.13,0.7901,86.24,0.049372,86.92
127,1.506,68.14,0.8235,85.28,0.048743,86.92
128,1.4731,68.43,0.8243,85.16,0.048115,86.92
129,1.4795,68.17,0.8435,84.36,0.047488,86.92
130,1.4633,69.27,0.8306,84.92,0.04686,86.92
131,1.5033,67.21,0.8049,85.76,0.046234,86.92
132,1.4224,68.36,0.7821,86.2,0.045607,86.92
133,1.515,65.66,0.7878,85.92,0.044982,86.92
134,1.4704,67.83,0.7639,87.0,0.044357,87.0
135,1.4828,66.29,0.8031,86.48,0.043733,87.0
136,1.5021,66.77,0.825,85.44,0.04311,87.0
137,1.4177,70.49,0.796,86.0,0.042489,87.0
138,1.516,62.59,0.7996,85.6,0.041868,87.0
139,1.4421,70.03,0.8418,84.48,0.041249,87.0
140,1.4405,69.49,0.7974,86.0,0.040631,87.0
141,1.4846,65.13,0.7876,86.56,0.040015,87.0
142,1.429,68.81,0.7989,86.0,0.0394,87.0
143,1.4002,70.66,0.81,85.2,0.038786,87.0
144,1.444,65.5,0.8098,85.64,0.038175,87.0
145,1.4498,68.57,0.7727,87.2,0.037566,87.2
146,1.4364,65.37,0.8078,85.12,0.036958,87.2
147,1.432,68.41,0.7966,86.36,0.036352,87.2
148,1.4213,68.34,0.8254,85.08,0.035749,87.2
149,1.4157,66.73,0.7858,86.44,0.035148,87.2
150,1.3806,68.69,0.8216,85.24,0.034549,87.2
151,1.4063,67.11,0.7822,86.52,0.033953,87.2
152,1.4128,68.33,0.8211,85.92,0.033359,87.2
153,1.4167,66.71,0.7861,86.28,0.032768,87.2
154,1.403,67.45,0.7793,86.2,0.032179,87.2
155,1.3915,69.26,0.8145,85.72,0.031594,87.2
156,1.3905,68.47,0.7685,86.44,0.031011,87.2
157,1.3379,73.19,0.7736,86.96,0.030431,87.2
158,1.3655,71.04,0.7984,85.68,0.029855,87.2
159,1.3679,72.72,0.766,87.52,0.029281,87.52
160,1.4344,65.68,0.7712,86.52,0.028711,87.52
161,1.3491,74.34,0.7577,87.56,0.028144,87.56
162,1.39,69.68,0.7534,86.92,0.027581,87.56
163,1.4097,66.83,0.7838,86.84,0.027021,87.56
164,1.4011,67.93,0.7738,86.8,0.026465,87.56
165,1.3481,70.06,0.7595,87.68,0.025912,87.68
166,1.4064,66.96,0.7614,87.52,0.025364,87.68
167,1.3231,72.6,0.7749,87.16,0.024819,87.68
168,1.3178,71.75,0.7627,87.68,0.024278,87.68
169,1.3402,71.68,0.779,86.72,0.023741,87.68
