epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.1625,9.76,3.3233,15.6,0.099996,15.6
2,3.0811,12.7,2.8255,21.56,0.099984,21.56
3,3.0174,14.36,2.6808,25.08,0.099964,25.08
4,2.974,16.55,2.5352,29.16,0.099937,29.16
5,2.9328,18.28,2.5845,26.88,0.099901,29.16
6,2.8776,20.08,2.6439,28.2,0.099858,29.16
7,2.8591,20.64,2.8318,28.16,0.099807,29.16
8,2.8304,20.58,2.3146,35.48,0.099748,35.48
9,2.8022,21.5,2.3618,35.4,0.099681,35.48
10,2.7648,22.93,3.0733,24.84,0.099606,35.48
11,2.7316,23.74,2.2423,37.16,0.099523,37.16
12,2.6776,27.5,2.0713,44.24,0.099433,44.24
13,2.6448,28.78,2.2352,42.64,0.099334,44.24
14,2.6084,28.7,2.0269,44.28,0.099228,44.28
15,2.632,28.99,2.2765,42.88,0.099114,44.28
16,2.593,30.56,1.8769,49.48,0.098993,49.48
17,2.5698,30.87,1.9936,47.48,0.098863,49.48
18,2.4937,33.79,2.0328,46.24,0.098726,49.48
19,2.5427,32.76,2.1268,42.84,0.098582,49.48
20,2.5178,33.77,2.0134,48.84,0.098429,49.48
21,2.4312,37.68,2.068,44.92,0.098269,49.48
22,2.4593,35.64,1.8502,49.72,0.098101,49.72
23,2.4495,34.84,1.9341,47.92,0.097926,49.72
24,2.4435,33.99,1.7048,55.32,0.097743,55.32
25,2.4418,34.66,1.845,51.72,0.097553,55.32
26,2.4274,35.84,1.5466,58.24,0.097355,58.24
27,2.4393,33.91,1.5712,57.28,0.09715,58.24
28,2.3583,39.48,2.1759,44.28,0.096937,58.24
29,2.3839,37.34,1.6723,57.04,0.096716,58.24
30,2.3572,39.24,1.6874,56.64,0.096489,58.24
31,2.3581,39.49,1.472,61.64,0.096254,61.64
32,2.384,36.63,1.5588,59.28,0.096012,61.64
33,2.298,40.73,1.7321,55.28,0.095762,61.64
34,2.3398,39.98,1.7546,56.88,0.095505,61.64
35,2.2199,44.57,1.4439,61.8,0.095241,61.8
36,2.3161,38.59,1.5602,58.64,0.09497,61.8
37,2.2351,42.99,1.6987,55.96,0.094692,61.8
38,2.2746,41.59,1.4062,64.96,0.094407,64.96
39,2.2957,42.84,1.6422,60.88,0.094115,64.96
40,2.2561,42.34,1.5501,61.56,0.093815,64.96
41,2.2872,41.46,1.6697,56.16,0.093509,64.96
42,2.2325,42.28,1.5383,60.72,0.093196,64.96
43,2.2771,41.69,1.4631,63.88,0.092876,64.96
44,2.2302,43.13,1.8178,54.44,0.09255,64.96
45,2.2922,40.97,1.4855,63.44,0.092216,64.96
46,2.2292,43.14,1.3472,65.32,0.091876,65.32
47,2.2082,43.36,1.7609,55.88,0.09153,65.32
48,2.247,41.92,1.4494,63.68,0.091177,65.32
49,2.1891,44.04,2.0373,48.56,0.090817,65.32
50,2.2642,40.79,1.5678,61.76,0.090451,65.32
51,2.2051,47.27,1.6338,59.0,0.090078,65.32
52,2.2027,45.08,1.4242,65.12,0.0897,65.32
53,2.2015,43.95,1.4496,65.2,0.089314,65.32
54,2.1979,44.15,1.4174,64.24,0.088923,65.32
55,2.2082,45.33,1.846,56.28,0.088526,65.32
56,2.1949,42.17,1.4529,62.52,0.088122,65.32
57,2.1616,46.03,1.9431,51.8,0.087713,65.32
58,2.1772,45.8,1.4318,65.0,0.087297,65.32
59,2.2316,43.11,1.8197,53.16,0.086876,65.32
60,2.233,41.27,1.4833,62.44,0.086448,65.32
61,2.2219,43.92,1.309,67.76,0.086015,67.76
62,2.1122,46.76,1.3947,67.04,0.085577,67.76
63,2.1679,46.33,1.521,61.6,0.085132,67.76
64,2.2224,43.42,1.614,60.68,0.084683,67.76
65,2.1492,45.55,1.5441,62.28,0.084227,67.76
66,2.1396,45.0,1.4599,64.32,0.083767,67.76
67,2.1309,46.11,1.7475,56.84,0.083301,67.76
68,2.147,44.93,1.3689,67.2,0.082829,67.76
69,2.1419,47.63,1.4811,62.72,0.082353,67.76
70,2.1358,45.27,1.3368,66.36,0.081871,67.76
71,2.0968,47.51,1.3794,65.6,0.081385,67.76
72,2.0991,46.74,1.4048,64.2,0.080893,67.76
73,2.0545,52.6,1.2439,70.36,0.080397,70.36
74,2.1065,48.22,1.4354,66.28,0.079895,70.36
75,2.1132,48.81,1.4738,64.88,0.079389,70.36
76,2.1429,46.99,1.2715,69.36,0.078879,70.36
77,2.0456,48.9,1.3208,68.28,0.078363,70.36
78,2.1007,49.42,1.1677,73.08,0.077844,73.08
