epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.0839,15.14,2.7441,23.32,0.099996,23.32
2,2.9296,20.23,2.45,34.04,0.099984,34.04
3,2.8241,23.9,2.3069,37.8,0.099964,37.8
4,2.7797,23.82,2.2454,40.4,0.099937,40.4
5,2.7338,27.22,2.1657,44.12,0.099901,44.12
6,2.6885,27.48,1.9876,49.96,0.099858,49.96
7,2.6629,28.81,2.0516,47.92,0.099807,49.96
8,2.5575,34.16,1.9426,52.24,0.099748,52.24
9,2.5263,33.99,1.9767,48.96,0.099681,52.24
10,2.5026,34.6,1.9193,50.44,0.099606,52.24
11,2.4795,36.92,1.8703,52.44,0.099523,52.44
12,2.4064,40.62,1.6844,60.68,0.099433,60.68
13,2.3241,42.16,1.7822,57.16,0.099334,60.68
14,2.3153,42.69,1.7317,60.36,0.099228,60.68
15,2.2713,45.84,1.6452,63.84,0.099114,63.84
16,2.2831,45.64,1.6705,60.84,0.098993,63.84
17,2.2796,44.56,1.6637,62.08,0.098863,63.84
18,2.2333,45.48,1.5793,65.24,0.098726,65.24
19,2.2282,46.3,1.6153,64.64,0.098582,65.24
20,2.1803,50.64,1.4194,71.04,0.098429,71.04
21,2.1995,48.0,1.5165,68.64,0.098269,71.04
22,2.1322,47.86,1.4925,68.6,0.098101,71.04
23,2.0936,51.68,1.5276,67.8,0.097926,71.04
24,2.0277,55.34,1.4175,71.12,0.097743,71.12
25,2.1636,49.92,1.6132,64.96,0.097553,71.12
26,2.1077,49.59,1.3616,73.2,0.097355,73.2
27,2.0562,54.48,1.3676,74.16,0.09715,74.16
28,2.1223,52.39,1.3643,74.12,0.096937,74.16
29,2.0372,55.87,1.282,77.64,0.096716,77.64
30,2.0392,52.7,1.3617,73.56,0.096489,77.64
31,1.9872,55.46,1.2773,76.88,0.096254,77.64
32,2.0435,51.79,1.3035,77.0,0.096012,77.64
33,1.9965,54.68,1.429,72.04,0.095762,77.64
34,2.0211,56.6,1.3553,75.96,0.095505,77.64
35,1.9496,56.73,1.3779,73.6,0.095241,77.64
36,1.9937,55.14,1.2764,77.92,0.09497,77.92
37,1.969,56.75,1.2907,77.16,0.094692,77.92
38,1.963,54.07,1.3483,74.48,0.094407,77.92
39,1.9402,57.83,1.2588,78.28,0.094115,78.28
40,1.9372,60.24,1.2364,79.24,0.093815,79.24
41,1.8929,57.1,1.2625,78.08,0.093509,79.24
42,1.9412,56.65,1.3215,77.12,0.093196,79.24
43,1.8623,62.26,1.1975,80.44,0.092876,80.44
44,1.9239,58.39,1.1896,80.68,0.09255,80.68
45,1.9134,55.71,1.2265,78.4,0.092216,80.68
46,1.9288,58.65,1.2019,79.8,0.091876,80.68
47,1.8549,60.92,1.1595,81.44,0.09153,81.44
48,1.8317,60.47,1.2072,79.88,0.091177,81.44
49,1.8251,60.75,1.1557,82.24,0.090817,82.24
50,1.8156,65.38,1.1427,83.08,0.090451,83.08
51,1.8737,57.24,1.2535,78.04,0.090078,83.08
52,1.8279,62.22,1.2212,78.96,0.0897,83.08
53,1.818,60.59,1.1387,83.84,0.089314,83.84
54,1.8263,58.35,1.1734,82.92,0.088923,83.84
55,1.7985,62.12,1.1886,81.68,0.088526,83.84
56,1.8056,60.95,1.1535,82.04,0.088122,83.84
57,1.7944,60.68,1.1301,82.76,0.087713,83.84
58,1.809,61.34,1.1718,81.48,0.087297,83.84
59,1.7822,62.41,1.1777,82.12,0.086876,83.84
60,1.7091,64.84,1.1386,82.28,0.086448,83.84
61,1.7062,68.03,1.138,82.48,0.086015,83.84
62,1.7899,61.12,1.1877,81.48,0.085577,83.84
63,1.7064,67.42,1.1391,82.8,0.085132,83.84
64,1.7352,67.79,1.1739,82.0,0.084683,83.84
65,1.6786,66.31,1.1559,82.12,0.084227,83.84
66,1.7301,66.56,1.1767,82.6,0.083767,83.84
67,1.7257,64.98,1.1472,81.88,0.083301,83.84
68,1.7038,67.07,1.118,83.72,0.082829,83.84
69,1.7228,62.83,1.1105,83.44,0.082353,83.84
70,1.7124,64.31,1.2092,80.64,0.081871,83.84
71,1.5866,69.73,1.0885,83.36,0.081385,83.84
72,1.6903,65.6,1.0486,85.16,0.080893,85.16
73,1.7106,66.42,1.1545,82.08,0.080397,85.16
74,1.6856,60.37,1.1215,84.12,0.079895,85.16
75,1.699,63.54,1.1559,82.04,0.079389,85.16
76,1.694,66.96,1.1354,83.08,0.078879,85.16
77,1.6613,65.27,1.1507,82.2,0.078363,85.16
78,1.6415,67.18,1.1063,83.8,0.077844,85.16
79,1.7008,64.1,1.1421,82.0,0.07732,85.16
80,1.6363,70.39,1.0875,85.08,0.076791,85.16
81,1.6359,73.26,1.0812,84.56,0.076259,85.16
82,1.6019,69.91,1.1529,82.28,0.075722,85.16
83,1.5957,70.96,1.0839,83.72,0.075181,85.16
84,1.6929,67.33,1.1012,84.6,0.074636,85.16
85,1.59,71.3,1.0806,85.04,0.074088,85.16
86,1.6174,69.89,1.0903,83.6,0.073535,85.16
87,1.6496,67.96,1.1136,83.72,0.072979,85.16
88,1.6542,66.15,1.1375,83.2,0.072419,85.16
89,1.7155,65.54,1.1001,84.76,0.071856,85.16
90,1.5529,71.9,1.0989,83.68,0.071289,85.16
91,1.6314,66.39,1.1206,82.2,0.070719,85.16
92,1.617,71.36,1.11,84.6,0.070145,85.16
93,1.6039,70.25,1.0551,85.88,0.069569,85.88
94,1.6643,62.99,1.1178,84.04,0.068989,85.88
95,1.5883,69.65,1.098,83.92,0.068406,85.88
96,1.5937,73.28,1.0722,84.92,0.067821,85.88
97,1.5952,67.7,1.1469,81.92,0.067232,85.88
98,1.6509,64.03,1.0713,85.48,0.066641,85.88
99,1.5374,70.37,1.0261,86.6,0.066047,86.6
100,1.6239,67.25,1.0799,84.76,0.065451,86.6
