epoch,train_loss,train_acc,test_loss,test_acc,lr,best_test_acc_so_far
1,3.2231,6.57,3.0291,13.4,0.099996,13.4
2,3.1325,10.54,2.858,19.96,0.099984,19.96
3,3.0804,12.24,2.7182,23.28,0.099964,23.28
4,3.0336,14.75,2.7257,25.32,0.099937,25.32
5,2.9888,15.58,2.4533,31.12,0.099901,31.12
6,2.9525,17.73,2.4551,29.52,0.099858,31.12
7,2.909,18.58,2.3248,36.12,0.099807,36.12
8,2.8889,18.11,2.43,32.72,0.099748,36.12
9,2.8162,21.28,2.2019,38.2,0.099681,38.2
10,2.7964,20.83,2.3099,34.4,0.099606,38.2
11,2.7361,25.38,2.0295,42.08,0.099523,42.08
12,2.657,26.47,2.4109,32.88,0.099433,42.08
13,2.6947,25.3,2.0373,41.84,0.099334,42.08
14,2.6169,28.88,2.014,43.96,0.099228,43.96
15,2.5953,29.21,1.9068,46.88,0.099114,46.88
16,2.5755,29.32,1.7844,51.12,0.098993,51.12
17,2.5533,29.27,1.8229,49.24,0.098863,51.12
18,2.5251,32.07,1.758,50.24,0.098726,51.12
19,2.5033,30.98,1.714,52.2,0.098582,52.2
20,2.4405,34.94,1.5506,57.96,0.098429,57.96
21,2.4334,34.49,1.6701,54.2,0.098269,57.96
22,2.4146,35.91,1.613,55.84,0.098101,57.96
23,2.4117,36.02,1.4996,58.4,0.097926,58.4
24,2.3852,36.57,1.45,62.32,0.097743,62.32
25,2.3836,35.3,1.7122,53.32,0.097553,62.32
26,2.4044,35.77,1.5582,58.44,0.097355,62.32
27,2.3259,38.42,1.4307,62.24,0.09715,62.32
28,2.3445,38.31,1.5007,59.68,0.096937,62.32
29,2.3369,39.35,1.4177,62.64,0.096716,62.64
30,2.3182,40.19,1.5986,55.64,0.096489,62.64
31,2.3283,38.67,1.3741,64.92,0.096254,64.92
32,2.3,40.83,1.3548,64.84,0.096012,64.92
33,2.2748,43.22,1.3113,67.92,0.095762,67.92
34,2.2375,42.79,1.2974,66.72,0.095505,67.92
35,2.1877,43.79,1.1787,72.12,0.095241,72.12
36,2.2053,44.22,1.3981,63.48,0.09497,72.12
37,2.1548,45.08,1.3451,65.32,0.094692,72.12
38,2.2282,40.95,1.3859,64.28,0.094407,72.12
39,2.1966,44.38,1.19,72.08,0.094115,72.12
40,2.2028,43.5,1.2275,69.32,0.093815,72.12
41,2.2349,40.73,1.2002,70.88,0.093509,72.12
42,2.235,43.06,1.1829,73.48,0.093196,73.48
43,2.1714,45.51,1.2808,67.68,0.092876,73.48
44,2.2077,45.27,1.1302,75.08,0.09255,75.08
45,2.1372,45.61,1.1894,70.52,0.092216,75.08
46,2.1081,46.85,1.4041,64.56,0.091876,75.08
47,2.0895,47.66,1.122,73.32,0.09153,75.08
48,2.1227,45.33,1.1322,74.2,0.091177,75.08
49,2.1474,45.61,1.1262,74.12,0.090817,75.08
50,2.1436,45.46,1.1148,73.8,0.090451,75.08
51,2.1425,44.48,1.1286,73.48,0.090078,75.08
52,2.0822,48.1,1.1613,73.44,0.0897,75.08
53,2.1056,48.73,1.0724,74.28,0.089314,75.08
54,2.1001,47.71,1.1621,72.96,0.088923,75.08
55,2.1291,45.46,1.054,75.8,0.088526,75.8
56,2.0618,51.37,1.2736,68.6,0.088122,75.8
57,2.0971,45.35,1.0451,76.24,0.087713,76.24
58,2.0694,49.58,1.0857,74.72,0.087297,76.24
59,2.038,50.41,1.0978,74.52,0.086876,76.24
60,2.1111,45.62,1.0916,74.28,0.086448,76.24
61,2.1262,44.77,1.1858,70.88,0.086015,76.24
62,1.9892,51.86,1.005,77.8,0.085577,77.8
