model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,TransformerBase,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,54.91,1.789713278198242,5491,10000,2025-09-08 22:27:38
expert_0,TransformerBase,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,52.28,1.9549693389892577,5228,10000,2025-09-08 22:27:38
expert_0,TransformerBase,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,43.59,2.35068818359375,4359,10000,2025-09-08 22:27:38
expert_0,TransformerBase,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,23.7,3.3350430236816404,2370,10000,2025-09-08 22:27:38
expert_0,TransformerBase,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,11.9,4.174243740844727,1190,10000,2025-09-08 22:27:38
expert_1,TransformerBase,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,51.33,1.9103499160766602,5133,10000,2025-09-08 22:27:54
expert_1,TransformerBase,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,47.73,2.085219378662109,4773,10000,2025-09-08 22:27:54
expert_1,TransformerBase,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,38.18,2.4760052337646483,3818,10000,2025-09-08 22:27:54
expert_1,TransformerBase,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,19.36,3.4098786987304686,1936,10000,2025-09-08 22:27:54
expert_1,TransformerBase,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,9.53,4.177521459960937,953,10000,2025-09-08 22:27:54
expert_2,TransformerBase,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,49.89,2.0577439331054688,4989,10000,2025-09-08 22:28:10
expert_2,TransformerBase,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,47.26,2.211649530029297,4726,10000,2025-09-08 22:28:10
expert_2,TransformerBase,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,39.72,2.5333747772216797,3972,10000,2025-09-08 22:28:10
expert_2,TransformerBase,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,21.64,3.384038247680664,2164,10000,2025-09-08 22:28:10
expert_2,TransformerBase,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,10.74,4.080569821166992,1074,10000,2025-09-08 22:28:10
expert_3,TransformerBase,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,54.66,1.792951515197754,5466,10000,2025-09-08 22:28:26
expert_3,TransformerBase,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,51.44,1.9523300247192383,5144,10000,2025-09-08 22:28:26
