epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
0,22.415787518310548,20.646770147705077,32.44,1e-05,0.0001,0.0001,4.237075118637085,18.178712335205077,22.415787518310548,17.52,17.9,16.04,18.84,4.54306817779541,4.547183033752441,4.549486818695068,4.538974510192871,1.0,TransformerBase,2025-09-08 20:53:01
1,20.438500442504882,18.524631665039063,59.56,1e-05,0.0001,0.0001,2.874398969268799,17.564101361083985,20.438500442504882,24.42,26.58,24.43,26.17,4.394736822509766,4.393425553894043,4.406184767913818,4.36975424118042,1.0,TransformerBase,2025-09-08 20:53:59
2,19.14430887451172,17.336407244873048,66.47,1e-05,0.0001,0.0001,2.2202817512512207,16.92402706604004,19.14430887451172,27.68,29.2,27.34,28.51,4.241455924987793,4.23294172744751,4.257347080230713,4.192282320785522,1.0,TransformerBase,2025-09-08 20:54:57
3,18.32492724304199,16.33450297241211,69.33,1e-05,0.0001,0.0001,2.0383583194732666,16.286568824768068,18.32492724304199,29.2,29.46,28.59,29.65,4.084019555664063,4.070242325592041,4.108492241668701,4.023814735794067,1.0,TransformerBase,2025-09-08 20:55:54
4,17.514548541259767,15.433852841186523,69.27,1e-05,0.0001,0.0001,1.910084991645813,15.604463505554198,17.514548541259767,29.73,29.96,29.55,29.59,3.911717887878418,3.8971362071990967,3.9541007698059083,3.8415086223602293,1.0,TransformerBase,2025-09-08 20:56:51
5,16.73692953491211,14.54896813659668,70.39,1e-05,0.0001,0.0001,1.8006797470092772,14.936249864196776,16.73692953491211,30.34,30.22,29.89,29.75,3.74196805229187,3.728153820037842,3.8029595085144043,3.6631684307098387,1.0,TransformerBase,2025-09-08 20:57:49
6,16.082284606933595,13.81836446685791,71.5,1e-05,0.0001,0.0001,1.732877197265625,14.34940740814209,16.082284606933595,31.31,30.24,30.25,30.56,3.5934160301208498,3.5802984375,3.6729186378479004,3.502774247741699,1.0,TransformerBase,2025-09-08 20:58:46
7,15.512871862792968,13.244783137512208,71.19,1e-05,0.0001,0.0001,1.6777224231719972,13.835149490356445,15.512871862792968,31.8,31.05,31.28,31.14,3.4620823928833007,3.449184289932251,3.559335567855835,3.3645471881866453,1.0,TransformerBase,2025-09-08 20:59:43
8,14.990444107055664,12.693434643554687,71.89,1e-05,0.0001,0.0001,1.6238348625183106,13.366609252929688,14.990444107055664,32.18,31.41,31.52,31.58,3.3436173824310305,3.3233379219055177,3.452131534576416,3.247522369003296,1.0,TransformerBase,2025-09-08 21:00:41
9,14.565631169128418,12.26260520324707,72.3,1e-05,0.0001,0.0001,1.6100093641281128,12.955621827697755,14.565631169128418,33.61,32.49,32.83,32.58,3.2385312740325927,3.2206303123474123,3.3610495391845703,3.1354106105804442,1.0,TransformerBase,2025-09-08 21:01:38
