model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicativeAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,57.68,1.5189763885498047,5768,10000,2025-09-08 22:38:44
expert_0,multiplicativeAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,53.76,1.6900623641967774,5376,10000,2025-09-08 22:38:44
expert_0,multiplicativeAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,43.98,2.1732765777587892,4398,10000,2025-09-08 22:38:44
expert_0,multiplicativeAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,22.59,3.537782580566406,2259,10000,2025-09-08 22:38:44
expert_0,multiplicativeAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,10.63,4.782666149902344,1063,10000,2025-09-08 22:38:44
expert_1,multiplicativeAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,55.67,1.5702657333374024,5567,10000,2025-09-08 22:39:02
expert_1,multiplicativeAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,51.08,1.768504298400879,5108,10000,2025-09-08 22:39:02
expert_1,multiplicativeAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,40.54,2.247346075439453,4054,10000,2025-09-08 22:39:02
expert_1,multiplicativeAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,20.2,3.5093110137939454,2020,10000,2025-09-08 22:39:02
expert_1,multiplicativeAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,9.3,4.704935379028321,930,10000,2025-09-08 22:39:02
expert_2,multiplicativeAddition,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,54.51,1.6660523529052735,5451,10000,2025-09-08 22:39:20
expert_2,multiplicativeAddition,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,51.24,1.8006208709716798,5124,10000,2025-09-08 22:39:20
expert_2,multiplicativeAddition,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,44.08,2.158389414978027,4408,10000,2025-09-08 22:39:20
expert_2,multiplicativeAddition,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,23.69,3.2487637603759767,2369,10000,2025-09-08 22:39:20
expert_2,multiplicativeAddition,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,11.56,4.303808160400391,1156,10000,2025-09-08 22:39:20
expert_3,multiplicativeAddition,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,55.32,1.582333526611328,5532,10000,2025-09-08 22:39:38
expert_3,multiplicativeAddition,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,51.2,1.7559226959228516,5120,10000,2025-09-08 22:39:38
expert_3,multiplicativeAddition,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,41.35,2.221574087524414,4135,10000,2025-09-08 22:39:38
expert_3,multiplicativeAddition,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,21.49,3.384878424072266,2149,10000,2025-09-08 22:39:38
expert_3,multiplicativeAddition,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,11.73,4.322396450805664,1173,10000,2025-09-08 22:39:38
fusion,multiplicativeAddition,1.0,N/A,FusionModel,gaussian_noise,N/A,N/A,sigma_0.0,N/A,71.02,1.1453044113159179,7102,10000,2025-09-08 22:40:48
fusion,multiplicativeAddition,1.0,N/A,FusionModel,gaussian_noise,N/A,N/A,sigma_0.05,N/A,67.8,1.290484672164917,6780,10000,2025-09-08 22:40:48
fusion,multiplicativeAddition,1.0,N/A,FusionModel,gaussian_noise,N/A,N/A,sigma_0.1,N/A,57.09,1.7680896896362304,5709,10000,2025-09-08 22:40:48
fusion,multiplicativeAddition,1.0,N/A,FusionModel,gaussian_noise,N/A,N/A,sigma_0.2,N/A,31.69,3.3622415115356445,3169,10000,2025-09-08 22:40:48
fusion,multiplicativeAddition,1.0,N/A,FusionModel,gaussian_noise,N/A,N/A,sigma_0.3,N/A,15.31,5.07807639465332,1531,10000,2025-09-08 22:40:48
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,gaussian_noise,1,N/A,32.8,2.7815657386296913,3280,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,gaussian_noise,2,N/A,19.33,3.807296378703057,1933,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,gaussian_noise,3,N/A,11.54,4.6729841745352445,1154,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,gaussian_noise,4,N/A,8.8,5.031935447379004,880,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,gaussian_noise,5,N/A,7.37,5.341481426094152,737,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,1,N/A,10.75,4.780272556256644,1075,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,2,N/A,4.12,5.905062868625303,412,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,3,N/A,2.45,6.404892722262612,245,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,4,N/A,1.29,6.54752293719521,129,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,shot_noise,5,N/A,1.31,6.548599170733102,131,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,1,N/A,48.35,1.9097154789333102,4835,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,2,N/A,30.42,2.8494555527650856,3042,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,3,N/A,12.86,4.1144764785525165,1286,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,4,N/A,2.33,5.9890710915191265,233,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,impulse_noise,5,N/A,1.4,6.418801404252837,140,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,1,N/A,54.91,1.631951110272468,5491,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,2,N/A,52.62,1.7325571911244453,5262,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,3,N/A,50.09,1.8635185353363617,5009,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,4,N/A,32.99,2.757376175892504,3299,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,defocus_blur,5,N/A,19.27,3.7421776493893395,1927,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,1,N/A,57.47,1.516481422170808,5747,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,2,N/A,56.94,1.5352771191657344,5694,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,3,N/A,56.33,1.5677643048612377,5633,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,4,N/A,55.28,1.6146496413629265,5528,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,motion_blur,5,N/A,54.08,1.67315640932397,5408,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,1,N/A,47.58,1.9575431452521794,4758,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,2,N/A,39.65,2.364730029166499,3965,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,3,N/A,24.8,3.307106506975391,2480,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,4,N/A,13.76,4.341371490985533,1376,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,zoom_blur,5,N/A,6.57,5.25764761695379,657,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,snow,1,N/A,41.87,2.2546591894536077,4187,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,snow,2,N/A,21.16,3.6588801764234713,2116,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,snow,3,N/A,10.74,4.811897477017173,1074,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,snow,4,N/A,6.74,5.491901283022724,674,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,snow,5,N/A,4.89,5.833949282199522,489,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,frost,1,N/A,54.4,1.627730879602553,5440,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,frost,2,N/A,47.36,1.995676805701437,4736,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,frost,3,N/A,37.11,2.5217524676383296,3711,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,frost,4,N/A,27.82,3.1026290730585027,2782,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,frost,5,N/A,20.56,3.6739502798152874,2056,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,fog,1,N/A,51.63,1.776644438127928,5163,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,fog,2,N/A,38.25,2.477694484251964,3825,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,fog,3,N/A,25.22,3.3263893278339243,2522,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,fog,4,N/A,16.53,4.105500655838206,1653,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,fog,5,N/A,11.21,4.751882486705538,1121,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,brightness,1,N/A,57.48,1.51371104204202,5748,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,brightness,2,N/A,57.07,1.53608678262445,5707,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,brightness,3,N/A,55.89,1.5686540739445747,5589,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,brightness,4,N/A,54.92,1.6149463261230081,5492,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,brightness,5,N/A,53.7,1.6709258435647698,5370,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,contrast,1,N/A,57.44,1.510876403579229,5744,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,contrast,2,N/A,56.95,1.5257885667342175,5695,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,contrast,3,N/A,56.59,1.546475917478151,5659,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,contrast,4,N/A,56.06,1.571635430372214,5606,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,contrast,5,N/A,55.34,1.6020881058294563,5534,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,1,N/A,17.21,3.9067711377445655,1721,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,2,N/A,6.1,6.025579627556137,610,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,3,N/A,3.71,6.741096218930015,371,10000,2025-09-08 23:40:02
expert_0,multiplicativeAddition,1.0,0,DenseNet121,corruption,N/A,elastic_transform,4,N/A,3.04,7.051547738570202,304,10000,2025-09-08 23:40:02
