epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
0,22.73044175109863,21.886209576416014,21.79,1e-05,0.0001,0.0001,4.495612582397461,18.234829229736327,22.73044175109863,13.26,13.62,11.89,14.7,4.557380951690674,4.562457942199707,4.561928495788575,4.5530619812011714,1.0,multiplicativeAddition,2025-09-08 20:53:29
1,21.540809930419922,19.9115978515625,39.12,1e-05,0.0001,0.0001,3.7768795078277586,17.76393041381836,21.540809930419922,22.13,23.75,21.14,23.93,4.440953165435791,4.4447128776550295,4.454513690185546,4.4237505783081055,1.0,multiplicativeAddition,2025-09-08 20:54:36
2,20.28167282409668,18.60948696899414,50.54,1e-05,0.0001,0.0001,3.040490689468384,17.241182098388673,20.28167282409668,26.67,27.06,25.34,27.31,4.314070433044433,4.314141002655029,4.336367169952393,4.276603523254394,1.0,multiplicativeAddition,2025-09-08 20:55:43
3,19.34823758239746,17.522609298706055,57.28,1e-05,0.0001,0.0001,2.6536615837097166,16.694576007080077,19.34823758239746,28.38,29.01,27.4,28.59,4.183453453826904,4.18241840209961,4.212456741333008,4.116247330474853,1.0,multiplicativeAddition,2025-09-08 20:56:50
4,18.468315783691406,16.547306829833985,60.46,1e-05,0.0001,0.0001,2.3818014945983887,16.086514207458496,18.468315783691406,29.06,29.27,28.39,29.07,4.036152141571045,4.026648725891113,4.073481134796142,3.9502321842193604,1.0,multiplicativeAddition,2025-09-08 20:57:56
5,17.74923865661621,15.6507205078125,62.6,1e-05,0.0001,0.0001,2.239657876586914,15.509580744934082,17.74923865661621,30.33,29.68,29.04,29.4,3.892188747406006,3.881294758605957,3.946424766921997,3.789672487258911,1.0,multiplicativeAddition,2025-09-08 20:59:02
6,17.026589141845704,14.818202905273438,65.15,1e-05,0.0001,0.0001,2.113274016571045,14.91331516418457,17.026589141845704,30.76,30.27,29.63,29.95,3.7452756004333496,3.728583067703247,3.807498690032959,3.631957809448242,1.0,multiplicativeAddition,2025-09-08 21:00:07
7,16.36917178955078,14.089931605529785,65.12,1e-05,0.0001,0.0001,2.0071295581817625,14.36204213104248,16.36917178955078,31.61,30.35,29.86,30.38,3.6074350650787355,3.588679898071289,3.6811791549682615,3.484747992324829,1.0,multiplicativeAddition,2025-09-08 21:01:10
8,15.819446896362304,13.46960457763672,66.1,1e-05,0.0001,0.0001,1.9566656700134277,13.862781356811523,15.819446896362304,32.31,31.08,30.6,30.98,3.476678440475464,3.463982601547241,3.568340168762207,3.353780200958252,1.0,multiplicativeAddition,2025-09-08 21:02:17
9,15.262182299804687,12.8930093170166,66.81,1e-05,0.0001,0.0001,1.8601167877197267,13.402065519714355,15.262182299804687,32.75,31.44,31.4,31.68,3.358416830444336,3.3421422691345213,3.467001616668701,3.2345047637939452,1.0,multiplicativeAddition,2025-09-08 21:03:22
10,14.836085021972655,12.421915347290039,67.77,1e-05,0.0001,0.0001,1.8215928913116455,13.014492163085938,14.836085021972655,33.74,32.38,32.43,32.6,3.256893564224243,3.2402011905670167,3.3842086559295654,3.1331888103485106,1.0,multiplicativeAddition,2025-09-08 21:04:33
11,14.411025048828124,12.030673486328125,68.44,1e-05,0.0001,0.0001,1.7606587015151978,12.650366326904297,14.411025048828124,34.93,33.62,32.82,33.61,3.1618472007751466,3.148019312667847,3.2969025661468505,3.0435972286224366,1.0,multiplicativeAddition,2025-09-08 21:05:39
12,13.93416510925293,11.674400505065918,68.32,1e-05,0.0001,0.0001,1.681178268432617,12.252986853027343,13.93416510925293,35.42,34.02,33.09,34.16,3.0670354122161867,3.0464787387847903,3.2007996063232422,2.938673105621338,1.0,multiplicativeAddition,2025-09-08 21:06:42
13,13.679565312194825,11.357203137207032,68.71,1e-05,0.0001,0.0001,1.6659790279388427,12.013586296081543,13.679565312194825,36.27,34.62,33.96,35.42,2.9969720096588133,2.984378183364868,3.1402310581207273,2.8920050930023193,1.0,multiplicativeAddition,2025-09-08 21:07:47
14,13.414247372436524,11.087172662353515,69.47,1e-05,0.0001,0.0001,1.6405018535614013,11.773745504760742,13.414247372436524,37.23,35.21,34.66,36.01,2.937877602005005,2.9206983558654787,3.0788688213348387,2.8363007862091063,1.0,multiplicativeAddition,2025-09-08 21:08:53
15,13.107405828857422,10.85223997039795,69.21,1e-05,0.0001,0.0001,1.5999930290222169,11.507412817382813,13.107405828857422,37.65,36.53,35.79,36.25,2.862236569595337,2.8602820236206057,3.022193236541748,2.7627010459899903,1.0,multiplicativeAddition,2025-09-08 21:09:55
16,12.820636712646484,10.614520901489257,69.45,1e-05,0.0001,0.0001,1.553317088317871,11.26731968383789,12.820636712646484,38.52,37.28,36.3,36.89,2.8034442001342774,2.7911199451446533,2.9603949684143065,2.7123604621887205,1.0,multiplicativeAddition,2025-09-08 21:10:58
17,12.60986195526123,10.426579179382324,69.85,1e-05,0.0001,0.0001,1.5196049282073976,11.090257022094727,12.60986195526123,39.47,38.56,37.14,38.17,2.7574186302185058,2.7438473308563234,2.916699494552612,2.6722915199279784,1.0,multiplicativeAddition,2025-09-08 21:12:02
18,12.415542739868163,10.24206509399414,70.01,1e-05,0.0001,0.0001,1.5154319252014161,10.90011075439453,12.415542739868163,39.67,39.69,37.92,38.76,2.7127091995239256,2.6946917987823484,2.872198152923584,2.620511596298218,1.0,multiplicativeAddition,2025-09-08 21:13:06
19,12.269327557373046,10.08813959350586,70.42,1e-05,0.0001,0.0001,1.5128884590148926,10.756439082336426,12.269327557373046,40.45,40.14,38.84,39.23,2.6735134590148926,2.6557523933410643,2.82863353767395,2.5985397510528565,1.0,multiplicativeAddition,2025-09-08 21:14:10
20,11.96425272064209,9.916043240356446,70.51,1e-05,0.0001,0.0001,1.4344126434326172,10.529840069580079,11.96425272064209,41.06,40.73,39.05,39.71,2.6152439682006836,2.604630687332153,2.7647965831756594,2.5451688739776612,1.0,multiplicativeAddition,2025-09-08 21:15:20
21,11.784933950805664,9.789465454101563,71.05,1e-05,0.0001,0.0001,1.426204246520996,10.358729708862304,11.784933950805664,41.7,41.11,39.31,40.49,2.5715672183990477,2.5572451835632326,2.723430401611328,2.506486936187744,1.0,multiplicativeAddition,2025-09-08 21:16:24
22,11.691065133666992,9.67716411743164,70.47,1e-05,0.0001,0.0001,1.4167228496551514,10.274342324829101,11.691065133666992,42.43,42.01,40.0,41.1,2.553221270751953,2.5291621921539305,2.7061094173431397,2.485849451446533,1.0,multiplicativeAddition,2025-09-08 21:17:27
23,11.523816778564454,9.556212850952148,71.12,1e-05,0.0001,0.0001,1.3937313013076782,10.130085488891602,11.523816778564454,43.2,42.23,40.63,41.57,2.5126821624755857,2.4999793937683106,2.6614632389068604,2.4559606971740724,1.0,multiplicativeAddition,2025-09-08 21:18:31
24,11.27341382598877,9.441218771362305,71.04,1e-05,0.0001,0.0001,1.3402831283569336,9.933130706787109,11.27341382598877,43.77,42.89,41.49,42.26,2.4582191173553465,2.450413734817505,2.612179495239258,2.412318356704712,1.0,multiplicativeAddition,2025-09-08 21:19:33
25,11.201924688720704,9.31718090209961,71.46,1e-05,0.0001,0.0001,1.343582946395874,9.858341787719727,11.201924688720704,44.06,43.43,42.19,42.87,2.4348341094970705,2.4278423820495605,2.5969500820159914,2.3987152664184572,1.0,multiplicativeAddition,2025-09-08 21:20:37
26,11.030134648132325,9.245293113708495,71.28,1e-05,0.0001,0.0001,1.3218109740257262,9.708323683166505,11.030134648132325,44.44,43.33,42.35,43.46,2.3986623580932616,2.3940690040588377,2.55146921005249,2.36412311668396,1.0,multiplicativeAddition,2025-09-08 21:21:39
