model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicativeShifted,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,57.61,1.5317995178222656,5761,10000,2025-09-08 22:38:28
expert_0,multiplicativeShifted,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,53.31,1.6996746780395509,5331,10000,2025-09-08 22:38:28
expert_0,multiplicativeShifted,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,43.72,2.1715004776000977,4372,10000,2025-09-08 22:38:28
expert_0,multiplicativeShifted,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,23.03,3.48896711730957,2303,10000,2025-09-08 22:38:28
expert_0,multiplicativeShifted,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,10.93,4.696553424072266,1093,10000,2025-09-08 22:38:28
expert_1,multiplicativeShifted,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,55.15,1.586812808227539,5515,10000,2025-09-08 22:38:46
expert_1,multiplicativeShifted,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,50.48,1.787316293334961,5048,10000,2025-09-08 22:38:46
expert_1,multiplicativeShifted,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,39.82,2.27113505859375,3982,10000,2025-09-08 22:38:46
expert_1,multiplicativeShifted,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,19.42,3.544050402832031,1942,10000,2025-09-08 22:38:46
expert_1,multiplicativeShifted,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,9.02,4.722758926391601,902,10000,2025-09-08 22:38:46
expert_2,multiplicativeShifted,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,54.88,1.6446870010375976,5488,10000,2025-09-08 22:39:04
expert_2,multiplicativeShifted,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,51.57,1.7740446655273439,5157,10000,2025-09-08 22:39:04
expert_2,multiplicativeShifted,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,44.52,2.1317608978271485,4452,10000,2025-09-08 22:39:04
expert_2,multiplicativeShifted,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,24.08,3.2449508880615237,2408,10000,2025-09-08 22:39:04
expert_2,multiplicativeShifted,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,11.77,4.356626263427734,1177,10000,2025-09-08 22:39:04
expert_3,multiplicativeShifted,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,55.49,1.5718081268310546,5549,10000,2025-09-08 22:39:22
expert_3,multiplicativeShifted,1.0,3,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,51.55,1.745671923828125,5155,10000,2025-09-08 22:39:22
