epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
0,22.798203286743163,21.942877334594726,18.2,1e-05,0.0001,0.0001,4.552097728729248,18.24610549621582,22.798203286743163,11.76,12.52,10.84,13.33,4.5602486656188965,4.565386382293701,4.564506982421875,4.55596344833374,1.0,multiplicativeShifted,2025-09-08 20:53:29
1,21.737770950317383,20.196179092407228,36.66,1e-05,0.0001,0.0001,3.929751158905029,17.808019876098633,21.737770950317383,21.41,23.13,20.14,22.73,4.451263580322266,4.45576298828125,4.464042295837403,4.436950968170166,1.0,multiplicativeShifted,2025-09-08 20:54:35
2,20.595991806030273,18.913976782226563,46.64,1e-05,0.0001,0.0001,3.269301502609253,17.326690310668944,20.595991806030273,25.77,26.59,24.41,26.26,4.332234364318848,4.336726289367676,4.355345243835449,4.302384474182129,1.0,multiplicativeShifted,2025-09-08 20:55:41
3,19.721789840698243,17.92458466796875,52.36,1e-05,0.0001,0.0001,2.8933416748046876,16.828448071289063,19.721789840698243,27.72,28.29,26.62,27.94,4.212012370300293,4.216680863189698,4.242588236999512,4.1571666015625,1.0,multiplicativeShifted,2025-09-08 20:56:45
4,18.877058560180664,17.014930377197267,56.29,1e-05,0.0001,0.0001,2.608120009613037,16.268938412475585,18.877058560180664,28.4,28.65,27.87,28.3,4.075182281494141,4.072561336898803,4.115459091949463,4.005735633087158,1.0,multiplicativeShifted,2025-09-08 20:57:50
5,18.188331875610352,16.176373046875,59.0,1e-05,0.0001,0.0001,2.45186794052124,15.736463891601563,18.188331875610352,29.87,28.69,28.54,28.59,3.9429278759002684,3.939899784088135,3.9973762767791747,3.8562599159240722,1.0,multiplicativeShifted,2025-09-08 20:58:54
6,17.492968353271486,15.387455311584473,61.0,1e-05,0.0001,0.0001,2.31238978767395,15.180578492736817,17.492968353271486,30.14,29.23,29.26,29.32,3.806933568572998,3.7986972263336183,3.8677257209777833,3.707222002029419,1.0,multiplicativeShifted,2025-09-08 20:59:59
7,16.855455072021485,14.680390287780762,61.86,1e-05,0.0001,0.0001,2.1956200508117676,14.659835063171387,16.855455072021485,30.88,29.37,29.61,29.62,3.6774359104156495,3.6674805488586424,3.7488683681488038,3.5660501159667968,1.0,multiplicativeShifted,2025-09-08 21:01:03
8,16.289734555053712,14.034369215393067,63.44,1e-05,0.0001,0.0001,2.1116708562850954,14.178063739013671,16.289734555053712,31.53,30.27,30.02,30.32,3.552091374206543,3.5466148971557616,3.640732445526123,3.438624962615967,1.0,multiplicativeShifted,2025-09-08 21:02:07
9,15.750214157104493,13.458474090576171,63.75,1e-05,0.0001,0.0001,2.024980582046509,13.725233528137206,15.750214157104493,32.27,30.68,30.72,30.99,3.4361084327697755,3.427763362121582,3.543105396270752,3.3182564193725588,1.0,multiplicativeShifted,2025-09-08 21:03:11
10,15.322827310180664,12.957595001220703,65.14,1e-05,0.0001,0.0001,1.9814921562194825,13.34133522644043,15.322827310180664,32.95,31.44,31.46,31.63,3.3355516456604004,3.32721272315979,3.460648087692261,3.2179226959228515,1.0,multiplicativeShifted,2025-09-08 21:04:19
11,14.87378776397705,12.54948201904297,65.54,1e-05,0.0001,0.0001,1.8971805589675903,12.97660715637207,14.87378776397705,33.74,32.43,32.11,32.46,3.2423892921447752,3.233096671295166,3.373413212966919,3.127708047103882,1.0,multiplicativeShifted,2025-09-08 21:05:24
12,14.410420817565917,12.163165425109863,66.02,1e-05,0.0001,0.0001,1.8274709148406982,12.582949853515625,14.410420817565917,34.68,33.04,32.37,32.9,3.1475279941558836,3.131483648300171,3.2815776893615722,3.0223606193542483,1.0,multiplicativeShifted,2025-09-08 21:06:28
13,14.128024291992187,11.836436570739746,66.12,1e-05,0.0001,0.0001,1.7952221294403077,12.332802127075196,14.128024291992187,35.29,33.67,33.16,34.11,3.074300576400757,3.0636189434051513,3.221299580001831,2.9735830284118654,1.0,multiplicativeShifted,2025-09-08 21:07:32
14,13.855319548034668,11.550431896972656,66.9,1e-05,0.0001,0.0001,1.7677283750534059,12.087591218566894,13.855319548034668,36.22,34.24,33.94,34.96,3.015763640975952,3.002490240859985,3.156372369003296,2.9129650131225584,1.0,multiplicativeShifted,2025-09-08 21:08:37
15,13.534887776184082,11.301690451049804,67.05,1e-05,0.0001,0.0001,1.7166123208999633,11.818275390625,13.534887776184082,36.7,35.42,35.04,35.3,2.9414328121185305,2.938726341629028,3.1002573287963866,2.8378588371276856,1.0,multiplicativeShifted,2025-09-08 21:09:41
16,13.252341918945312,11.038666261291503,67.32,1e-05,0.0001,0.0001,1.6783155696868897,11.574026387023926,13.252341918945312,37.41,35.91,35.57,35.81,2.8815652576446533,2.8691445137023925,3.0370635162353516,2.7862530223846433,1.0,multiplicativeShifted,2025-09-08 21:10:45
17,13.030143556213378,10.841783068847656,67.76,1e-05,0.0001,0.0001,1.6334968729019166,11.396646618652344,13.030143556213378,38.27,37.1,36.4,37.57,2.8355493370056153,2.8193311412811277,2.996332534790039,2.745433536529541,1.0,multiplicativeShifted,2025-09-08 21:11:49
18,12.826622964477538,10.647238166809082,67.67,1e-05,0.0001,0.0001,1.6272517086029052,11.199371226501464,12.826622964477538,38.75,38.08,37.14,37.95,2.789140036010742,2.7696449390411377,2.949797714996338,2.690788471984863,1.0,multiplicativeShifted,2025-09-08 21:12:51
19,12.671333624267579,10.4720986328125,68.5,1e-05,0.0001,0.0001,1.6188225273132324,11.052511128234864,12.671333624267579,39.69,38.93,37.77,38.16,2.7483268997192383,2.7289427780151367,2.906512352371216,2.668729092788696,1.0,multiplicativeShifted,2025-09-08 21:13:55
20,12.362247679138184,10.296471342468262,68.75,1e-05,0.0001,0.0001,1.5314347473144532,10.830812879943847,12.362247679138184,40.33,39.75,38.33,38.87,2.6920656082153323,2.678372605895996,2.8435000686645506,2.616874673461914,1.0,multiplicativeShifted,2025-09-08 21:15:04
