model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,multiplicative,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,57.84,1.5058532043457031,5784,10000,2025-09-08 22:39:20
expert_0,multiplicative,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,54.9,1.6513011459350586,5490,10000,2025-09-08 22:39:20
expert_0,multiplicative,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,45.62,2.0937428482055664,4562,10000,2025-09-08 22:39:20
expert_0,multiplicative,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,24.42,3.423950033569336,2442,10000,2025-09-08 22:39:20
expert_0,multiplicative,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,11.97,4.675993032836914,1197,10000,2025-09-08 22:39:20
expert_1,multiplicative,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,56.83,1.5190446868896483,5683,10000,2025-09-08 22:39:38
expert_1,multiplicative,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,53.22,1.6838870971679687,5322,10000,2025-09-08 22:39:38
expert_1,multiplicative,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,43.12,2.154574499511719,4312,10000,2025-09-08 22:39:38
expert_1,multiplicative,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,22.8,3.4692755584716797,2280,10000,2025-09-08 22:39:38
expert_1,multiplicative,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,10.91,4.766651010131836,1091,10000,2025-09-08 22:39:38
expert_2,multiplicative,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,54.44,1.6646035552978515,5444,10000,2025-09-08 22:39:56
expert_2,multiplicative,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,50.79,1.8075624969482422,5079,10000,2025-09-08 22:39:56
expert_2,multiplicative,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,43.09,2.1806890350341797,4309,10000,2025-09-08 22:39:56
expert_2,multiplicative,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,22.81,3.3405737243652345,2281,10000,2025-09-08 22:39:56
