epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,timestamp
0,22.842989721679686,22.4160013671875,4.43,1e-05,0.0001,0.0001,4.607764704895019,18.23522508544922,22.842989721679686,13.29,13.61,11.83,14.48,4.557387627410889,4.562841613006592,4.561900004577637,4.553095790863037,1.0,multiplicative,2025-09-08 20:53:29
1,22.28232070617676,21.562461853027344,10.95,1e-05,0.0001,0.0001,4.511862542724609,17.770458126831056,22.28232070617676,22.02,23.55,21.28,24.04,4.442123894500733,4.448299741363526,4.455380765533447,4.424653847503662,1.0,multiplicative,2025-09-08 20:54:36
2,21.582900576782226,20.514304849243164,15.71,1e-05,0.0001,0.0001,4.32910724105835,17.25379330444336,21.582900576782226,25.9,26.36,24.88,26.65,4.317748108673095,4.321384526824951,4.337880326843262,4.276780392456055,1.0,multiplicative,2025-09-08 20:55:43
3,20.72313709106445,19.350505126953124,22.25,1e-05,0.0001,0.0001,4.014500382995606,16.708636761474608,20.72313709106445,27.68,27.81,26.09,27.9,4.18770919265747,4.189518173217773,4.214546772003174,4.116862586975097,1.0,multiplicative,2025-09-08 20:56:50
4,19.805029107666016,18.174566094970704,28.38,1e-05,0.0001,0.0001,3.7093870223999024,16.095642094421386,19.805029107666016,27.87,28.07,26.84,28.39,4.039358930969239,4.028068209457397,4.07591040802002,3.9523045272827146,1.0,multiplicative,2025-09-08 20:57:56
5,19.000587295532227,17.11711580505371,32.69,1e-05,0.0001,0.0001,3.4763446796417234,15.524242646789551,19.000587295532227,28.94,28.65,27.09,28.67,3.8961883003234865,3.885864823150635,3.9500896850585936,3.792099853515625,1.0,multiplicative,2025-09-08 20:59:01
6,18.159433624267578,16.158494064331055,37.97,1e-05,0.0001,0.0001,3.2265296104431154,14.932903874206543,18.159433624267578,29.07,29.23,28.02,29.33,3.751706664276123,3.7354698280334473,3.812488695526123,3.6332386180877685,1.0,multiplicative,2025-09-08 21:00:06
7,17.434304766845703,15.316174835205079,41.81,1e-05,0.0001,0.0001,3.0348078079223635,14.399497009277344,17.434304766845703,30.48,29.6,28.35,29.83,3.6188073993682863,3.5991358261108397,3.6920045349121096,3.489549197006226,1.0,multiplicative,2025-09-08 21:01:10
8,16.804556201171874,14.584796542358399,45.74,1e-05,0.0001,0.0001,2.8857542442321775,13.918801861572266,16.804556201171874,31.17,30.33,29.61,30.48,3.492331290054321,3.4808134227752685,3.5858772399902343,3.3597799030303954,1.0,multiplicative,2025-09-08 21:02:17
9,16.20865034790039,13.9228031539917,48.85,1e-05,0.0001,0.0001,2.7299664043426515,13.478683996582031,16.20865034790039,31.99,30.91,30.37,31.29,3.3799091800689696,3.363671688079834,3.488806555557251,3.2462966068267822,1.0,multiplicative,2025-09-08 21:03:22
10,15.749508065795899,13.361276943969727,51.39,1e-05,0.0001,0.0001,2.6334020538330076,13.116106066894531,15.749508065795899,33.03,31.91,31.29,31.94,3.2859377655029296,3.267318521118164,3.4074280082702635,3.1554217643737794,1.0,multiplicative,2025-09-08 21:04:33
11,15.281661248779297,12.921722291564942,52.74,1e-05,0.0001,0.0001,2.511682399749756,12.76997884979248,15.281661248779297,34.13,33.09,31.92,32.96,3.19615970993042,3.1780389934539794,3.32606411819458,3.0697159896850588,1.0,multiplicative,2025-09-08 21:05:39
12,14.772261053466798,12.49988005065918,54.07,1e-05,0.0001,0.0001,2.3799199920654295,12.392341116333007,14.772261053466798,34.79,33.61,32.41,33.13,3.1055722625732423,3.083132019042969,3.2352434036254882,2.9683935047149657,1.0,multiplicative,2025-09-08 21:06:44
