model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_0,simpleAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,57.63,1.5374454971313476,5763,10000,2025-09-08 22:26:25
expert_0,simpleAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,54.21,1.6802379989624023,5421,10000,2025-09-08 22:26:25
expert_0,simpleAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,45.67,2.1059140899658204,4567,10000,2025-09-08 22:26:25
expert_0,simpleAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,25.17,3.31720400390625,2517,10000,2025-09-08 22:26:25
expert_0,simpleAddition,1.0,0,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,12.08,4.441379415893555,1208,10000,2025-09-08 22:26:25
expert_1,simpleAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,55.88,1.575168551635742,5588,10000,2025-09-08 22:26:41
expert_1,simpleAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.05,N/A,52.18,1.7340718734741212,5218,10000,2025-09-08 22:26:41
expert_1,simpleAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.1,N/A,41.68,2.180438487243652,4168,10000,2025-09-08 22:26:41
expert_1,simpleAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.2,N/A,22.26,3.353498110961914,2226,10000,2025-09-08 22:26:41
expert_1,simpleAddition,1.0,1,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.3,N/A,10.84,4.483838287353516,1084,10000,2025-09-08 22:26:41
expert_2,simpleAddition,1.0,2,DenseNet121,gaussian_noise,N/A,N/A,sigma_0.0,N/A,55.34,1.663665200805664,5534,10000,2025-09-08 22:26:57
