epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,model_architecture,timestamp
1,107.33545201941382,42.561068788359435,76.9,6.998445665152054e-05,0.0007998223617316634,0.0007998223617316634,3.40108585357666,12.542221069335938,55.20859909057617,75.01,74.41,74.92,75.25,1.0525646285165715,1.0468653614007974,1.0378778757928293,1.027541939216324,10.0,concatenation,densenet121,2025-09-02 08:38:39
2,101.18168939518023,41.3954538755779,76.74,6.993784194549054e-05,0.0007992896222341778,0.0007992896222341778,2.111166000366211,8.277493476867676,45.86521530151367,75.76,74.93,75.97,75.47,1.0137789505946486,1.0248906793473642,1.0077622495120084,1.00232064271275,10.0,concatenation,densenet121,2025-09-02 08:40:01
3,97.89165303676943,40.876531311228305,77.19,6.986020188499701e-05,0.0007984023072571089,0.0007984023072571089,2.170870304107666,9.400583267211914,42.12649917602539,76.01,75.19,76.15,75.93,0.9900921296469772,1.0137088125265097,0.9983531696886956,0.9950672848315179,10.0,concatenation,densenet121,2025-09-02 08:41:22
4,98.20341037798532,40.75734218162826,78.61,6.975161309140606e-05,0.0007971612924732122,0.0007971612924732122,2.822904348373413,10.39145278930664,43.10891342163086,76.08,75.7,76.28,76.55,0.9846588908871517,1.031471247159982,0.9955540684205068,0.9742327000521407,10.0,concatenation,densenet121,2025-09-02 08:42:42
5,96.40129659145693,41.27045254767695,77.82,6.961218272874684e-05,0.0007955678026142498,0.0007955678026142498,2.2983460426330566,8.55457878112793,41.67047882080078,75.93,75.24,75.86,76.21,0.9982045971894566,1.02702698677401,1.0071718873856943,0.9992198876187771,10.0,concatenation,densenet121,2025-09-02 08:44:00
6,94.93012541758863,41.3939866416062,78.13,6.94420483979537e-05,0.0007936234102623282,0.0007936234102623282,1.8785417079925537,7.088902473449707,50.094783782958984,76.32,75.37,75.86,75.76,0.9977242773092245,1.0281453985202162,1.007288326945486,1.0125688872759855,10.0,concatenation,densenet121,2025-09-02 08:45:19
7,91.20792924905125,41.801866048499,78.31,6.924137800107055e-05,0.0007913300342979493,0.0007913300342979493,3.025505542755127,11.295918464660645,48.923282623291016,75.89,75.9,75.93,75.79,1.0163705703578418,1.0198605166205876,1.0193541721452641,1.0259692419933368,10.0,concatenation,densenet121,2025-09-02 08:46:38
8,90.7567340512819,41.44238346437864,77.63,6.901036957555188e-05,0.0007886899380063074,0.0007886899380063074,2.5882887840270996,9.676630020141602,44.822906494140625,75.97,75.78,75.71,76.21,0.989445340029801,1.0219959382769428,1.028137726874291,1.0072815108902846,10.0,concatenation,densenet121,2025-09-02 08:47:57
9,87.25394149973422,42.389568884161456,77.79,6.87492510988237e-05,0.0007857057268436997,0.0007857057268436997,1.8657751083374023,7.127044677734375,45.30667495727539,75.78,75.31,75.65,75.99,1.023479263239269,1.0485172860230072,1.0405185524421403,1.0271319686611997,10.0,concatenation,densenet121,2025-09-02 08:49:16
10,89.83561730686623,42.55801295026948,77.83,6.845828026329733e-05,0.0007823803458662555,0.0007823803458662555,3.173253059387207,12.215980529785156,47.73146438598633,75.52,75.4,75.52,75.99,1.0393306047101565,1.0404128138023088,1.047373112243942,1.0288299125961111,10.0,concatenation,densenet121,2025-09-02 08:50:34
11,89.80408545385433,42.1184513719776,78.29,6.813774422205809e-05,0.0007787170768235215,0.0007787170768235215,1.6211061477661133,6.696005344390869,46.01817321777344,75.7,75.74,75.58,75.91,1.0192826775055897,1.0343167344226112,1.0309541180164,1.0291415981099576,10.0,concatenation,densenet121,2025-09-02 08:52:03
12,87.87351342696178,43.18310667593268,77.96,6.778795930547991e-05,0.0007747195349197708,0.0007747195349197708,2.080536365509033,7.974096298217773,46.86820602416992,75.87,75.35,75.28,75.67,1.0375611774529083,1.062972080858448,1.0715759464457064,1.0445780195767367,10.0,concatenation,densenet121,2025-09-02 08:53:21
13,85.64111516445497,42.835722476621214,77.43,6.740927070904538e-05,0.0007703916652462335,0.0007703916652462335,2.4526147842407227,9.23993968963623,45.074886322021484,75.63,74.93,75.23,75.34,1.0288509786883486,1.0632900150516365,1.0537800011755545,1.0365270021595532,10.0,concatenation,densenet121,2025-09-02 08:54:40
14,86.85898908784118,43.76428184026404,77.81,6.700205215267959e-05,0.0007657377388877673,0.0007657377388877673,1.9936566352844238,7.69619607925415,46.92643737792969,75.42,75.22,75.38,75.76,1.0709040097043485,1.0683662642406513,1.087512822090825,1.0448989264572723,10.0,concatenation,densenet121,2025-09-02 08:55:58
15,82.36890763874295,44.628281750256505,77.44,6.656670551193356e-05,0.0007607623487078127,0.0007607623487078127,2.5728960037231445,10.126022338867188,51.33171081542969,75.16,74.7,75.11,75.35,1.0790652655347992,1.1015344548828994,1.0963111565082888,1.08006228827223,10.0,concatenation,densenet121,2025-09-02 08:57:17
16,82.63332400744474,43.8022818263573,78.12,6.610366042138166e-05,0.0007554704048157912,0.0007554704048157912,1.7771127223968506,7.246912956237793,47.735069274902344,75.42,74.84,75.2,75.33,1.056092001214812,1.0791378700280492,1.0746050952356072,1.0717891552780248,10.0,concatenation,densenet121,2025-09-02 08:58:36
17,82.66097534759135,44.293204440346244,77.83,6.561337385062419e-05,0.0007498671297214201,0.0007498671297214201,1.859961748123169,6.8508758544921875,51.391021728515625,74.91,75.24,74.74,75.5,1.0776073298876798,1.0927164675314216,1.0918462170830256,1.060388367387313,10.0,concatenation,densenet121,2025-09-02 08:59:54
18,82.06989988496032,45.1459374246718,77.71,6.509632965331344e-05,0.0007439580531807258,0.0007439580531807258,2.914428949356079,12.192976951599121,47.00338363647461,74.98,74.88,74.99,74.51,1.095333547531804,1.0979374224626566,1.110595797436147,1.1012974660607833,10.0,concatenation,densenet121,2025-09-02 09:01:13
19,81.89379699320733,45.16844278649439,78.3,6.455303808964865e-05,0.0007377490067388427,0.0007377490067388427,2.0501301288604736,8.189412117004395,47.77008819580078,75.32,74.71,74.45,75.21,1.0832120798811127,1.1201371135590952,1.1247581258604797,1.083329140385495,10.0,concatenation,densenet121,2025-09-02 09:02:32
20,81.19918601120574,45.76185718970963,77.57,6.39840353228108e-05,0.0007312461179749815,0.0007312461179749815,1.9812955856323242,8.03453540802002,49.52747344970703,74.23,74.3,74.32,75.04,1.1067628098439566,1.1345899384233016,1.132123342797726,1.0920641377002378,10.0,concatenation,densenet121,2025-09-02 09:03:50
21,78.5221629082402,45.07267688799508,77.88,6.33898828898342e-05,0.0007244558044552489,0.0007244558044552489,1.6145823001861572,6.60382080078125,49.55619812011719,74.51,74.35,74.6,75.22,1.0962527945071836,1.1044426409504082,1.1049963364118263,1.0983231007298337,10.0,concatenation,densenet121,2025-09-02 09:05:13
22,82.7963071412678,46.159596503535404,77.84,6.277116714743732e-05,0.0007173847673992845,0.0007173847673992845,3.0003933906555176,11.399307250976562,57.29874801635742,74.55,74.56,74.4,74.95,1.1311031632785555,1.1240724634520616,1.139508752883235,1.1098465693147876,10.0,concatenation,densenet121,2025-09-02 09:06:32
23,82.96536452860772,46.30969986734511,77.72,6.212849869335943e-05,0.0007100399850669658,0.0007100399850669658,2.968552589416504,12.533306121826172,58.37266159057617,74.39,74.0,74.42,74.77,1.12984643254099,1.1389915316919736,1.1409889489789553,1.1117878427988366,10.0,concatenation,densenet121,2025-09-02 09:07:50
24,80.71457392052758,45.70742290834837,78.2,6.146251176377441e-05,0.0007024287058717085,0.0007024287058717085,2.4893951416015625,9.770580291748047,52.04798889160156,74.83,74.49,74.59,75.19,1.1011792443975617,1.1287241502653194,1.1459565713435789,1.0873891115188599,10.0,concatenation,densenet121,2025-09-02 09:09:09
25,81.07108987735796,46.54302804681319,78.31,6.077386360737619e-05,0.0006945584412271574,0.0006945584412271574,2.467989206314087,9.486577033996582,56.313575744628906,74.53,74.59,74.36,75.02,1.1234716486327256,1.1451341215568254,1.1552765761749655,1.1208878227427035,10.0,concatenation,densenet121,2025-09-02 09:10:27
26,80.7016965648796,46.093750048287305,77.66,6.006323383675364e-05,0.0006864369581343283,0.0006864369581343283,2.2106471061706543,9.1095609664917,57.5956916809082,74.55,74.52,74.15,75.1,1.114226079439815,1.1343168088152438,1.154253428495383,1.1000072827822045,10.0,concatenation,densenet121,2025-09-02 09:11:46
27,80.6672046516515,46.67644577992113,77.9,5.933132375769498e-05,0.000678072271516515,0.000678072271516515,1.7976970672607422,7.474264144897461,49.80168151855469,74.86,73.9,73.7,74.85,1.134889858432963,1.1488164821757545,1.1764112077181852,1.1002950389173967,10.0,concatenation,densenet121,2025-09-02 09:13:04
28,76.61852525155756,46.31295409383653,77.84,5.857885567708368e-05,0.0006694726363095287,0.0006694726363095287,2.7391467094421387,10.565570831298828,51.90425491333008,74.13,73.94,74.01,74.91,1.1281099168560174,1.140908103954943,1.1432284207283696,1.1090970077092135,10.0,concatenation,densenet121,2025-09-02 09:14:22
29,77.37990198256094,46.36580262003066,78.15,5.780657219006872e-05,0.000660646539315072,0.000660646539315072,2.253624677658081,9.312946319580078,51.29581832885742,74.66,73.91,74.06,74.84,1.1355966027778914,1.1331653014014038,1.150262046463882,1.1067317784587039,10.0,concatenation,densenet121,2025-09-02 09:15:41
30,75.590379980546,47.519907890995846,77.61,5.701523544721287e-05,0.0006516026908252908,0.0006516026908252908,2.61088228225708,11.023231506347656,55.440547943115234,73.95,74.07,73.08,74.63,1.1673132875297643,1.1485461668123174,1.1901883565926854,1.1347769317747671,10.0,concatenation,densenet121,2025-09-02 09:17:00
31,77.39759995665732,46.983610177341895,77.7,5.620562640234208e-05,0.0006423500160267675,0.0006423500160267675,2.2638697624206543,9.254801750183105,51.400718688964844,74.25,73.78,73.87,74.72,1.133383018306539,1.1561949735955348,1.170673780803439,1.1307025068922887,10.0,concatenation,densenet121,2025-09-02 09:18:24
32,79.01665298848212,46.93781550926498,77.62,5.537854404183835e-05,0.0006328976461924392,0.0006328976461924392,2.4632065296173096,9.915741920471191,45.214717864990234,74.08,73.71,73.65,74.79,1.1519555766371232,1.1487030432194094,1.1717139776748946,1.110752358466764,10.0,concatenation,densenet121,2025-09-02 09:19:42
33,78.40234959276417,47.83550165876557,77.46,5.4534804596136655e-05,0.0006232549096701341,0.0006232549096701341,2.364372730255127,9.20340633392334,51.021636962890625,74.16,73.64,73.48,74.57,1.1624131851558444,1.1672025383273257,1.2003298115126695,1.1407596551919286,10.0,concatenation,densenet121,2025-09-02 09:21:00
34,77.34487861923024,47.74628448486328,77.48,5.367524073420399e-05,0.0006134313226766178,0.0006134313226766178,2.895561933517456,12.52920913696289,51.28568649291992,73.88,73.7,73.51,74.3,1.1671869158744812,1.1594237707838226,1.19842716636537,1.1410902995097487,10.0,concatenation,densenet121,2025-09-02 09:22:19
35,78.20759065845344,47.34392523463768,77.7,5.280070074179569e-05,0.0006034365799062372,0.0006034365799062372,2.0951297283172607,8.152153968811035,49.22795486450195,74.66,73.65,73.84,74.55,1.1513647105120406,1.1630558024478863,1.188113882571836,1.12276129179363,10.0,concatenation,densenet121,2025-09-02 09:23:37
36,74.89653855335864,47.245521400548235,77.75,5.191204768429975e-05,0.0005932805449634266,0.0005932805449634266,2.2322468757629395,8.841266632080078,49.09465789794922,74.28,73.29,73.74,74.53,1.1419664462910424,1.1692105177082592,1.1789714105521576,1.1267734735826902,10.0,concatenation,densenet121,2025-09-02 09:24:56
37,76.01304066332081,47.99523278731334,77.73,5.101015855499556e-05,0.0005829732406285214,0.0005829732406285214,1.9850881099700928,7.605559349060059,51.78727340698242,74.16,73.51,73.33,74.57,1.162032793594312,1.175351978857306,1.1956709087649477,1.158030870594556,10.0,concatenation,densenet121,2025-09-02 09:26:14
38,77.67919791499271,47.946057621436786,77.5,5.009592340956733e-05,0.0005725248389664845,0.0005725248389664845,2.232595443725586,9.24876594543457,52.643314361572266,74.21,73.58,73.55,74.42,1.1711130806162386,1.1856261031537116,1.1889294212377524,1.1388291022445582,10.0,concatenation,densenet121,2025-09-02 09:27:33
39,73.99525712411615,47.89034454732002,78.0,4.917024448772665e-05,0.0005619456512883054,0.0005619456512883054,2.4221138954162598,10.167800903320312,55.873802185058594,74.25,73.77,73.52,74.41,1.1638296774671049,1.1706610480441322,1.188027876087382,1.155256684067883,10.0,concatenation,densenet121,2025-09-02 09:28:52
40,75.57218020475364,47.76859365535688,77.5,4.823403532281082e-05,0.0005512461179749816,0.0005512461179749816,1.733304738998413,7.867170333862305,55.97425079345703,73.46,73.68,73.28,75.01,1.175730841069282,1.1772932244252554,1.1909920648683476,1.1230248069461388,10.0,concatenation,densenet121,2025-09-02 09:30:10
41,76.5748897987076,48.209153960022746,78.04,4.72882198402357e-05,0.0005404367981741231,0.0005404367981741231,2.3928613662719727,10.117504119873047,56.516910552978516,73.57,73.38,73.26,74.64,1.1781878478919403,1.1814684558518325,1.20690705051905,1.1479922895190082,10.0,concatenation,densenet121,2025-09-02 09:31:35
42,72.77290117287937,47.72550515283512,78.12,4.63337314456929e-05,0.0005295283593793481,0.0005295283593793481,1.0357095003128052,4.149991512298584,56.67487335205078,74.08,73.59,73.38,74.58,1.1561601984349987,1.1793956258628941,1.188621595690522,1.1382237831248512,10.0,concatenation,densenet121,2025-09-02 09:32:53
43,76.6392282896404,48.37950945504104,77.54,4.537151210399107e-05,0.0005185315669027559,0.0005185315669027559,2.4510018825531006,9.906436920166016,58.679473876953125,74.42,73.24,73.65,74.12,1.1542582436452937,1.2047227409821522,1.2106727520121803,1.153718291204187,10.0,concatenation,densenet121,2025-09-02 09:34:12
44,76.85753462586221,48.57551323613034,77.21,4.440251140945031e-05,0.0005074572732508615,0.0005074572732508615,1.7730944156646729,7.673952102661133,54.7505989074707,73.82,73.54,73.54,74.27,1.1742226579521275,1.2036335898351065,1.2119367733786377,1.157517182676098,10.0,concatenation,densenet121,2025-09-02 09:35:30
45,76.6096589293661,48.43327012846741,77.74,4.342768564876726e-05,0.0004963164074144838,0.0004963164074144838,2.309938907623291,9.842866897583008,57.794864654541016,73.82,73.45,73.76,74.19,1.1686690291271935,1.197618621059611,1.205289117897613,1.1624906100804293,10.0,concatenation,densenet121,2025-09-02 09:36:49
46,73.8906654164761,48.344550120679635,77.47,4.2447996857275574e-05,0.00048511996408315023,0.00048511996408315023,2.4974312782287598,10.130577087402344,62.17135238647461,73.55,73.77,73.98,74.23,1.1794880485232873,1.1900614288788807,1.1969197452822817,1.1618644564966611,10.0,concatenation,densenet121,2025-09-02 09:38:07
47,72.51894837391528,48.33576221707501,77.58,4.1464411869533184e-05,0.00047387899279466576,0.00047387899279466576,2.018599271774292,9.074220657348633,58.99028015136719,73.56,73.54,73.96,74.16,1.1791772842407227,1.1869389294069024,1.2016564547261106,1.1595754472515252,10.0,concatenation,densenet121,2025-09-02 09:39:26
48,72.29983114894432,48.72014048129697,77.71,4.0477901365173356e-05,0.0004626045870305535,0.0004626045870305535,1.9865410327911377,8.225808143615723,55.392879486083984,73.5,73.46,73.66,74.4,1.1924584922911245,1.1960653821124305,1.2124939681608466,1.1644759449777724,10.0,concatenation,densenet121,2025-09-02 09:40:44
49,73.98115225683284,48.317586826372754,77.5,3.948943891096102e-05,0.00045130787326812683,0.00045130787326812683,1.289658546447754,4.985158920288086,55.41039276123047,73.9,73.43,73.83,74.47,1.178502385374866,1.1890262712406208,1.195619501645052,1.1591874994809115,10.0,concatenation,densenet121,2025-09-02 09:42:02
50,74.48221597792227,48.17692131332204,77.86,3.849999999999998e-05,0.0004400000000000006,0.0004400000000000006,2.2975568771362305,8.743404388427734,52.619266510009766,73.79,73.54,73.4,74.55,1.1799516059175323,1.1854437363298633,1.2079406297659572,1.1394381342054922,10.0,concatenation,densenet121,2025-09-02 09:43:21
51,73.34306195416028,48.315128664427164,77.68,3.751056108903894e-05,0.0004286921267318744,0.0004286921267318744,2.686131715774536,10.681320190429688,54.9239387512207,73.74,73.48,73.61,74.78,1.1871418100369127,1.1876734125463269,1.2000576038903827,1.1500960912885545,10.0,concatenation,densenet121,2025-09-02 09:44:46
52,74.61420566220826,47.77821490130847,78.27,3.6522098634826605e-05,0.00041739541296944774,0.00041739541296944774,2.0411670207977295,8.495278358459473,52.743247985839844,74.14,73.7,74.14,74.92,1.1666784037517597,1.180405617514743,1.19037909749188,1.1360215605059756,10.0,concatenation,densenet121,2025-09-02 09:46:05
53,74.46673931652987,48.29478638081611,78.0,3.553558813046677e-05,0.00040612100720533535,0.00040612100720533535,1.8522284030914307,7.620372772216797,54.41141891479492,74.08,73.35,73.45,74.13,1.1747038085249406,1.1966910581045513,1.1937767176688472,1.1570275795610645,10.0,concatenation,densenet121,2025-09-02 09:47:23
54,68.57680308667919,48.74635764013363,78.29,3.4552003142724386e-05,0.000394880035916851,0.000394880035916851,1.179910659790039,4.703617095947266,54.44086837768555,73.89,73.36,73.37,74.42,1.1818704703186131,1.2122143582452702,1.1982694155053248,1.1766212235523175,10.0,concatenation,densenet121,2025-09-02 09:48:41
55,73.36033949067321,48.47862847243683,78.01,3.3572314351232697e-05,0.00038368359258551734,0.00038368359258551734,1.6289291381835938,6.784544944763184,53.04224395751953,73.86,73.55,73.3,74.47,1.1843471685542335,1.1889734358727178,1.2110753406452228,1.1567167881168896,10.0,concatenation,densenet121,2025-09-02 09:50:00
56,72.45049358319632,49.1599761866316,77.82,3.2597488590549644e-05,0.00037254272674913956,0.00037254272674913956,2.2533609867095947,9.003005981445312,55.996788024902344,73.25,73.34,73.59,74.08,1.201076773903038,1.209673203244994,1.2291591295713111,1.1675749398485016,10.0,concatenation,densenet121,2025-09-02 09:51:18
57,69.80108951616891,48.747679215443284,77.94,3.162848789600889e-05,0.0003614684330972452,0.0003614684330972452,2.0449609756469727,9.043147087097168,55.398380279541016,73.79,73.28,73.77,74.12,1.1883991903896574,1.197905022886735,1.2088838370540473,1.1725763542742669,10.0,concatenation,densenet121,2025-09-02 09:52:36
58,73.26373305501816,49.05702547483806,77.69,3.066626855430704e-05,0.00035047164062065265,0.00035047164062065265,2.222540855407715,9.01033878326416,53.310089111328125,73.69,73.27,73.42,73.95,1.199230138259598,1.206223333183723,1.218274409257913,1.1738258788857279,10.0,concatenation,densenet121,2025-09-02 09:53:55
59,75.69520959974844,49.22284746773635,77.89,2.9711780159764252e-05,0.00033956320182587787,0.00033956320182587787,1.4592190980911255,5.8577799797058105,50.837890625,73.38,73.34,73.39,74.36,1.2025719043574756,1.2027518123011045,1.2314343241196644,1.1763048013554345,10.0,concatenation,densenet121,2025-09-02 09:55:14
