epoch,train_loss,val_loss,val_accuracy,experts_lr,fusion_lr,global_head_lr,loss_global,loss_individual,loss_total,expert_0_accuracy,expert_1_accuracy,expert_2_accuracy,expert_3_accuracy,expert_0_loss,expert_1_loss,expert_2_loss,expert_3_loss,alpha,fusion_type,model_architecture,timestamp
1,14.474442687215685,6.374974341332158,53.54,6.998445665152054e-05,0.0007998223617316634,0.0007998223617316634,3.772312641143799,12.29615592956543,7.898351192474365,75.48,75.38,75.81,75.47,1.0383390225941622,1.01918649598013,1.0212620179864424,1.0078801278826557,1.0,simpleAddition,densenet121,2025-09-02 08:38:27
2,12.897992472105388,5.325979531565799,73.92,6.993784194549054e-05,0.0007992896222341778,0.0007992896222341778,2.7316126823425293,10.85369873046875,6.478447914123535,76.25,75.57,75.89,75.53,1.0127005803434155,1.0127077200744725,0.9937070638318605,1.0023709618592564,1.0,simpleAddition,densenet121,2025-09-02 08:39:39
3,12.1100323049328,5.0805556593062,76.06,6.986020188499701e-05,0.0007984023072571089,0.0007984023072571089,2.198664426803589,7.850377559661865,6.145488739013672,76.18,75.78,76.33,75.93,1.0079427731188038,1.0134416856343234,0.9802737907518314,1.0053568361680718,1.0,simpleAddition,densenet121,2025-09-02 08:40:51
4,12.203115342538569,5.032684929763215,77.38,6.975161309140606e-05,0.0007971612924732122,0.0007971612924732122,3.085862636566162,10.491422653198242,5.981009483337402,76.13,75.53,76.13,75.68,1.0069837253304976,1.0077679051628596,0.9909539418884471,1.0022433226621603,1.0,simpleAddition,densenet121,2025-09-02 08:42:03
5,11.84353821790671,5.027872538264794,77.82,6.961218272874684e-05,0.0007955678026142498,0.0007955678026142498,2.4121389389038086,8.944084167480469,6.735231876373291,76.11,75.62,75.89,76.27,1.0109435606606398,1.032803164252752,1.0134922062294394,1.0164824203599858,1.0,simpleAddition,densenet121,2025-09-02 08:43:15
6,11.694269983074333,5.035593277291406,77.84,6.94420483979537e-05,0.0007936234102623282,0.0007936234102623282,2.0191211700439453,8.130134582519531,6.142954349517822,76.22,75.28,75.61,75.9,1.0068812936167173,1.045101695422885,1.0247044427485406,1.0078280183333386,1.0,simpleAddition,densenet121,2025-09-02 08:44:26
7,11.198066367378718,5.097999759867221,78.17,6.924137800107055e-05,0.0007913300342979493,0.0007913300342979493,2.9328901767730713,11.63528823852539,5.569012641906738,76.0,75.58,75.61,75.63,1.03230701669862,1.0275221844262714,1.0399486596071268,1.0334074836743028,1.0,simpleAddition,densenet121,2025-09-02 08:45:39
8,11.193225764021088,5.012392738197423,78.14,6.901036957555188e-05,0.0007886899380063074,0.0007886899380063074,2.6958236694335938,10.566105842590332,6.297039985656738,76.09,75.48,75.78,76.08,1.0013555310949493,1.0420888669883148,1.0268319324602055,1.0104171264020703,1.0,simpleAddition,densenet121,2025-09-02 08:46:51
9,10.74780954288531,5.092082096051566,78.47,6.87492510988237e-05,0.0007857057268436997,0.0007857057268436997,1.8648085594177246,6.843091011047363,6.171550750732422,76.12,75.12,75.55,75.26,1.0222179527524151,1.0529802456686768,1.045235513886319,1.0350512809391264,1.0,simpleAddition,densenet121,2025-09-02 08:48:03
10,11.058667237245583,5.148488132259514,78.37,6.845828026329733e-05,0.0007823803458662555,0.0007823803458662555,2.6706790924072266,10.414079666137695,6.639928340911865,75.99,74.77,74.96,75.17,1.0379785548282574,1.0660813586621345,1.0658100013491474,1.0423285372649567,1.0,simpleAddition,densenet121,2025-09-02 08:49:15
11,10.996504451655134,5.202007818825638,78.05,6.813774422205809e-05,0.0007787170768235215,0.0007787170768235215,1.5866800546646118,6.871860980987549,6.071568965911865,75.6,74.66,75.5,75.27,1.048539932770065,1.0835777868198444,1.0483036758024482,1.0434284776071958,1.0,simpleAddition,densenet121,2025-09-02 08:50:28
12,10.778854448584061,5.18582139135916,78.82,6.778795930547991e-05,0.0007747195349197708,0.0007747195349197708,1.878517746925354,7.3148932456970215,6.233870029449463,75.79,75.04,75.8,75.57,1.0487041345125512,1.0778963165947153,1.057791470726834,1.057086620149733,1.0,simpleAddition,densenet121,2025-09-02 08:51:39
13,10.51454165615613,5.221980209592022,78.28,6.740927070904538e-05,0.0007703916652462335,0.0007703916652462335,2.919949531555176,11.130178451538086,5.762575149536133,75.76,74.36,75.25,75.35,1.0621921955784666,1.0860892119286936,1.0680569055714184,1.0555597928505909,1.0,simpleAddition,densenet121,2025-09-02 08:52:51
14,10.701789288581173,5.305200323273864,78.61,6.700205215267959e-05,0.0007657377388877673,0.0007657377388877673,1.7720136642456055,7.204233646392822,5.909659385681152,75.19,74.46,74.96,75.29,1.07217512779598,1.1040601277653175,1.1026581563527071,1.0574671754354164,1.0,simpleAddition,densenet121,2025-09-02 08:54:03
15,10.111770973929875,5.385045522375952,78.15,6.656670551193356e-05,0.0007607623487078127,0.0007607623487078127,2.7945237159729004,10.754852294921875,7.084959506988525,75.58,74.34,74.77,74.97,1.089090165458148,1.1123688613312155,1.1012187298340133,1.0999334922319726,1.0,simpleAddition,densenet121,2025-09-02 08:55:15
16,10.084500928468342,5.381970260716692,78.08,6.610366042138166e-05,0.0007554704048157912,0.0007554704048157912,1.699535846710205,6.815123081207275,6.237400531768799,75.08,74.13,75.04,74.76,1.0774043526830552,1.110444036465657,1.1033330423922478,1.1038009863865526,1.0,simpleAddition,densenet121,2025-09-02 08:56:27
17,10.179127113728583,5.423027533519117,78.35,6.561337385062419e-05,0.0007498671297214201,0.0007498671297214201,2.004848003387451,8.298864364624023,6.699462890625,74.79,73.9,74.59,74.91,1.0954691737512998,1.1305534326577489,1.1186023792134057,1.1045271626001671,1.0,simpleAddition,densenet121,2025-09-02 08:57:39
18,10.137691739239271,5.469864772844918,78.23,6.509632965331344e-05,0.0007439580531807258,0.0007439580531807258,3.009535789489746,11.689815521240234,5.931005954742432,75.44,74.12,74.45,74.78,1.0931128444550913,1.128703763967828,1.1337477383734305,1.1038832875746716,1.0,simpleAddition,densenet121,2025-09-02 08:58:50
19,9.966710983952389,5.445693335955656,78.07,6.455303808964865e-05,0.0007377490067388427,0.0007377490067388427,2.1206789016723633,8.197710990905762,6.2898945808410645,74.66,73.92,75.15,74.46,1.1103232570841342,1.1298156931430479,1.116105118884316,1.1065902913673014,1.0,simpleAddition,densenet121,2025-09-02 09:00:02
20,10.00108124334601,5.579124293749845,77.97,6.39840353228108e-05,0.0007312461179749815,0.0007312461179749815,2.4536232948303223,10.042123794555664,5.750653266906738,74.19,74.28,74.19,74.32,1.1285671765291239,1.1402964644794222,1.1490963697433472,1.1211757207218604,1.0,simpleAddition,densenet121,2025-09-02 09:01:14
