epoch,train_loss,val_loss,val_acc,experts_lr,fusion_lr,global_head_lr,alpha,stage,timestamp
0,0.0,4.60422420501709,1.9,0.0,0.001,0.001,1.0,pre,2025-09-01 22:35:19
1,1.438818291039534,1.0044547095894814,74.6,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:35:35
2,0.7981602793008509,0.9459559395909309,76.0,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:35:51
3,0.6866474730867735,0.9741935506463051,78.3,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:36:07
4,0.6142128244252272,1.078583113849163,76.2,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:36:23
5,0.549598387849163,1.0686839893460274,78.0,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:36:38
6,5.052991610177806,1.0815237537026405,76.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:38:17
7,3.9137576142667045,1.1059813275933266,78.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:39:56
8,3.1998303792846037,1.2956768572330475,78.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:41:35
9,2.7619875910836207,1.396111249923706,78.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:43:14
10,2.381762947624838,1.6078842729330063,77.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:44:53
11,2.048122953256251,1.8388344496488571,78.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:46:31
12,1.8351252952616819,2.1787568032741547,79.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:48:10
13,1.6434146841909265,2.3271049559116364,78.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:49:49
14,1.4955025278556515,2.305849239230156,79.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:51:29
15,1.3859470652073662,2.9333626329898834,77.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:53:08
16,1.2558944968319774,3.0578710734844208,79.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:54:47
17,1.1547222447400818,3.0327735245227814,78.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:56:27
18,1.0676138629482217,3.5967239439487457,79.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:58:06
19,0.9886579296740102,3.7402814626693726,80.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:59:46
20,0.9395168420397618,3.4749699532985687,79.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:01:25
21,0.8331514493568449,3.9630363285541534,80.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:03:04
22,0.79209779436814,4.070582002401352,79.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:04:44
23,0.8124376741059959,4.02766478061676,78.6,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:06:24
24,0.7295107780654317,4.807010799646378,78.1,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:08:03
25,0.7267901540909344,5.195072382688522,77.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:09:43
26,0.6969496976299199,6.67476361989975,77.9,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:11:23
27,0.6653201861360492,6.6541935205459595,78.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:13:03
28,0.6253367812279303,7.757181406021118,78.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:14:43
29,0.6273777184333511,7.681915044784546,77.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:16:23
30,0.5847888912986704,9.306419610977173,78.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:18:03
31,0.5578843228435238,10.60612440109253,78.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:19:43
32,0.5601041891768238,9.753939747810364,78.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:21:23
33,0.5775442965422659,13.112027943134308,78.9,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:23:03
34,0.582092839001608,15.483520984649658,79.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:24:44
35,0.530223015048469,18.27203071117401,78.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:26:24
36,0.5367171159897419,20.081512928009033,77.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:28:04
37,0.5371155022264409,26.670408248901367,77.6,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:29:44
38,0.48250631993821425,25.722115755081177,78.0,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:31:25
39,0.48640232293242075,27.008847951889038,77.6,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:33:05
40,0.454050232235705,39.17312693595886,76.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:34:45
