epoch,train_loss,val_loss,val_acc,experts_lr,fusion_lr,global_head_lr,alpha,stage,timestamp
0,0.0,4.622820973396301,0.2,0.0,0.001,0.001,1.0,pre,2025-09-01 22:35:19
1,1.1625965732923695,0.9120522066950798,76.3,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:35:35
2,0.7449895294619279,1.011258564889431,75.2,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:35:51
3,0.6474799329126385,1.0222801268100739,74.6,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:36:06
4,0.5610023094734675,1.014795072376728,75.8,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:36:22
5,0.5145457080552276,1.0523115992546082,76.2,0.0,0.001,0.001,1.0,warmup,2025-09-01 22:36:38
6,4.972485454989151,0.9830775558948517,79.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:38:17
7,3.7715715661015308,1.0767567530274391,79.6,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:39:55
8,3.0570346497943706,1.2577996104955673,79.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:41:33
9,2.6227284217594375,1.3555709794163704,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:43:12
10,2.204331886915254,1.4709981232881546,79.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:44:50
11,1.9202405944020606,1.6012070924043655,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:46:28
12,1.645265740706441,1.7400885820388794,79.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:48:07
13,1.437510225951383,1.691844366490841,80.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:49:46
14,1.286499765749142,1.9288807958364487,80.1,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:51:24
15,1.1724330957921165,2.0336849838495255,79.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:53:03
16,1.0660715055497016,2.1377975195646286,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:54:42
17,0.9678280366708453,2.1572800278663635,79.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:56:20
18,0.8816407979223148,2.1973826736211777,79.9,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:57:59
19,0.8214381043387002,2.210394114255905,80.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 22:59:38
20,0.7721944956316984,2.272567868232727,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:01:16
21,0.7172832690468254,2.400650829076767,79.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:02:54
22,0.6892449572679976,2.3984211683273315,80.1,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:04:33
23,0.6468799602156872,2.4891702979803085,79.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:06:12
24,0.6093059196197578,2.622606247663498,79.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:07:51
25,0.5874093354856114,2.6835645735263824,80.1,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:09:30
26,0.5476606774684265,2.7533869445323944,79.3,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:11:09
27,0.5322900811541115,2.7756179124116898,79.2,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:12:47
28,0.5045484946234555,2.742786020040512,78.9,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:14:26
29,0.47459762084728785,2.7871803045272827,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:16:06
30,0.46986786731017105,2.8429442644119263,79.4,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:17:45
31,0.441348027120281,2.8481228053569794,79.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:19:24
32,0.4329835084138506,2.878536194562912,79.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:21:03
33,0.4070950222596155,2.9407696425914764,79.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:22:42
34,0.39044482489535265,2.8340774476528168,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:24:21
35,0.38663607348902457,2.8763245940208435,79.6,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:26:00
36,0.3645855885978031,2.9467221200466156,79.5,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:27:39
37,0.35688338746865694,2.962828576564789,78.8,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:29:18
38,0.34908885847794,2.9953633546829224,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:30:58
39,0.330090509688576,2.9832979440689087,79.7,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:32:37
40,0.3128011747191875,2.8787151277065277,79.6,5e-06,0.001,0.001,1.0,joint,2025-09-01 23:34:16
